업종,업소명,주요품목,가격,연락처,주소,평점
한식_육류,국제갈비,돼지갈비1인분(300g),12000원,051-728-5200,부산광역시 기장군 장안읍 장곡길 166-1,5
한식_일반,히미쎈장어 꼼장어,꼼장어구이 1인분,21000원,0507-1348-7157,부산광역시 기장군 기장읍 읍내로 78번길 31,0
한식_기타,여니네,김밥,3000원,051-897-1232,부산광역시 부산진구 백양대로 232-2(개금동),0
한식_기타,반도분식,김밥,3000원,051-898-1578,부산광역시 부산진구 개금본동로 39(개금동),5
한식_일반,수향아구찜,생아구찜(소),35000원,051-722-5985,부산광역시 기장군 기장읍 대변로 134-10,4.1
한식_일반,우리막썰어횟집,모듬회(소),30000원,051-758-9996,부산광역시 수영구 연수로264번길 4(망미1동),0
한식_면류,백운면,잔치국수,4000원,051-805-8525,부산광역시 부산진구 동평로235번길 21(연지동),0
한식_일반,대패한상,한상대패,3900원,051-921-2757,부산광역시 부산진구 연수로 70(양정동),1
한식_일반,양가손만두 부전시장점,고기찐만두(10개),6000원,051-894-9870,부산광역시 부산진구 중앙대로769번길 24(부전동),4.7
한식_일반,삼한우사골곰탕,소머리곰탕,8000원,051-583-3833,부산광역시 부산진구 동평로420번길 5(양정동),0
한식_일반,부전시장왕뽈떼기,대구뽈탕,5000원,051-954-3100,부산광역시 부산진구 부전로152번길 51(부전동),4.6
일식,킹콩초밥,모듬초밥 (12p),13000원,051-751-5036,부산광역시 수영구 구락로8-4(수영동),4.3
이미용업,가위스토리,커트(남),10000원,051-758-8060,부산광역시 수영구 망미번영로38번길 40(광안3동),5
이미용업,양지미용실,커트,6000원,051-756-1938,부산광역시 수영구 망미번영로38번길 31(광안3동),0
한식_일반,두보완당,완당,7000원,051-752-6655,부산광역시 수영구 수영로679번길 26(광안3동),4.6
이미용업,핑크헤어,커트,9000원,051-757-2663,부산광역시 수영구 연수로369번길 20(수영동),0
한식_일반,다다생모밀,생모밀,4000원,0507-1349-0163,부산광역시 수영구 수영로652번길 68-1(광안1동),4.9
한식_일반,햇살돌솥밥,솥밥,8000원,051-246-4308,부산광역시 서구 구덕로124번길28-1,0
이미용업,JJ남성커트전문점,커트,10000원,010-8517-3794,"부산광역시 수영구 수영로394번길 10, 3층(남천1동)",별점 없음
기타서비스업,(주)송현 광안점,엔진오일 (국산중형),55000원,010-3687-3573,부산광역시 수영구 광일로8-5(광안1동),별점 없음
기타서비스업,하오르모터스 민락점,엔진오일 (국산중형),55000원,010-3687-3573,부산광역시 수영구 감포로32(민락동),5
한식_일반,송주네김밥,"일반/땡초김밥, 유부초밥",2000원,051-516-0081,부산광역시 금정구 동부곡로6번길 42(부곡동),5
이미용업,윤아헤어샵,펌,35000원,051-294-1151,"부산광역시 사하구 비봉로 42, 106호(신평동, 한신상가)",0
이미용업,영헤어,커트,13000원,010-0000-0000,부산광역시 사하구 괴정로 211(괴정동),0
한식_일반,소나무돼지갈비,닭육개장,6000원,051-202-6645,"부산광역시 사하구 장평로449번길 33, 1층(괴정동)",0
이미용업,댕기머리방,파마,180000원,051-201-5144,"부산광역시 사하구 사하로198번길 55, 1층(괴정동)",0
한식_면류,오일장 멸치국수,밀면,6000원,051-208-0998,"부산광역시 사하구 낙동대로 417, 1층(하단동)",5
한식_육류,만덕고깃집,삼겹살100g,5500원,051-000-0000,부산광역시 북구 덕천로247번길3,5
한식_면류,풍성한칼국수,바지락칼국수,6000원,051-242-1177,부산광역시 서구 충무시장길12,4.5
기타서비스업,공감사진관,증명사진/여권,14000원,051-989-0315,"부산광역시 영도구 동삼로 42, 1층(동삼동)",5
이미용업,정성희칼라공간,일반펌,40000원,010-5540-8253,"부산광역시 영도구 태종로 132, 1층 (봉래동3가)",0
이미용업,머리치장,커트,10000원,010-5419-2518,부산광역시 영도구 청학동로 50 (청학동),0
한식_일반,국제하이포크,오징어두루치기,7000원,051-405-8989,부산광역시 영도구 중리로 24 (동삼동),0
한식_육류,초량화진갈비삼겹살,대패삼겹살(90g),2500원,051-418-6683,부산광역시 영도구 영선대로 59 (영선동3가),0
한식_일반,옛날한우곰탕,곰탕,8000원,051-405-0801,"부산광역시 영도구 태종로 744, 5층 (동삼동)",5
한식_면류,"영도할매국수,과일",국수 무한리필,6000원,051-413-7272,부산광역시 영도구 절영로101번길 18 (영선동3가),별점 없음
한식_면류,동방밀면,밀면,7000원,051-416-9592,부산광역시 영도구 꿈나무길 239 (영선동2가),4.3
한식_일반,동규분식,떡볶이,5000원,051-418-6869,부산광역시 영도구 남항로19번길 1(남항동1가),0
한식_육류,대성식육식당,한우모듬(400g),58000원,051-413-3758,부산광역시 영도구 절영로7번길 36(봉래동2가),4
한식_일반,국수랑샤브랑,샤브샤브(소고기),12000원,051-414-0003,"부산광역시 영도구 남항로9번길 28, 1층(남항동1가)",5
기타서비스업,원당구장,이용료(10분),1500원,051-418-3832,"부산광역시 영도구 태종로 96, 3층(대교동2가)",0
한식_일반,초원곰탕,곰탕(경로우대),7000원,051-803-6652,"부산광역시 부산진구 부전로152번길 55, 1층(부전동)",0
이미용업,헤어코롱미용실,커트성인,8000원,051-000-0000,부산광역시 북구 양달로80-11 상가105호(화명동 코오롱),별점 없음
한식_육류,합천왕갈비,왕갈비150g,8000원,051-343-1155,부산광역시 북구 만덕1로35-2(만덕동),3
한식_면류,신가야밀면,물밀면,7000원,051-338-9898,부산광역시 북구 만덕2로44번길40,4.2
이미용업,더멋진이발관,커트,7000원,051-505-3988,부산광역시 동래구 여고로 113번길 16(사직동),5
이미용업,윤남성커트,커트,8000원,010-8519-0304,"부산광역시 동래구 명서로 146, 1층(명장동)",0
한식_기타,옛날 팥빙수,팥빙수,4000원,051-502-9440,부산광역시 동래구 아시아드대로 161(사직동),4.5
한식_일반,다보랑김밥분식,김밥,2500원,051-556-6678,부산광역시 동래구 명륜로 112번길23 (수안동),0
한식_면류,엄마손팥칼국수,팥칼국수,8000원,051-805-6343,부산광역시 부산진구 동평로44번길 62-14(당감동),5
한식_일반,논두렁,야채만두,9000원,051-808-1966,"부산광역시 부산진구 연지로 24, 1층(연지동)",2.6
이미용업,가인헤어아트,커트,7000원,051-891-8366,부산광역시 부산진구 엄광로 264(가야동),0
한식_일반,부잣집밀면,물밀면,5500원,051-867-0125,부산광역시 부산진구 새싹로8번길 32(부전동),3.8
한식_일반,정성담은,칼국수,6000원,051-643-0074,부산광역시 부산진구 범일로 148(범천동),0
한식_기타,분식휴게소,김치찌개,6000원,051-891-7009,"부산광역시 부산진구 냉정로 225, 1층(개금동)",별점 없음
세탁업,창진세탁,양복 상하,6000원,051-893-4167,부산광역시 부산진구 엄광로 70(가야동),0
기타양식,온타임,아메리카노,1500원,0507-1354-1469,부산광역시 부산진구 동성로 117(전포동),4.8
중식,옛날짜장,짜장면,2500원,051-816-7989,부산광역시 부산진구 중앙대로755번길 28(부전동),3.2
이미용업,굿맨헤어,컷트,11000원,051-897-0301,부산광역시 부산진구 당감로 53(당감동),0
한식_일반,부전소머리곰탕,소머리곰탕,8500원,051-809-7676,부산광역시 부산진구 가야대로765번길 23(부전동),별점 없음
한식_일반,삼삼오오,동태탕,8000원,051-898-0010,부산광역시 부산진구 동평로 29(당감동),0
한식_일반,장고방,황태구이,10000원,051-898-2488,부산광역시 부산진구 백양순환로 44-1(당감동),4
한식_일반,황금이네,국수,4500원,051-808-2707,부산광역시 부산진구 백양순환로 149-1(부암동),0
한식_기타,동두천부대찌개,부대찌개,8000원,051-898-0279,부산광역시 부산진구 당감로 34번길 11(당감동),4.1
이미용업,미짱헤어,컷트,15000원,051-896-0030,부산광역시 부산진구 백양산로53번길 103(담감동),0
한식_일반,오빠네골목식당,제육볶음,8000원,051-441-5581,부산광역시 중구 충장대로 5번길 32 (중앙동4가),5
한식_기타,대박분식,김밥,2000원,070-4233-1654,부산광역시 부산진구 가야대로482번길 14(개금동),5
한식_육류,송하화로구이,등심++(100g),27000원,051-868-9283,부산광역시 연제구 온천천남로 10,5
한식_일반,엄마국수,부추수제비,5500원,010-7793-9698,부산광역시 연제구 쌍미천로152번길 4,5
한식_일반,연동본가해장국,선지국밥,6000원,051-861-0928,부산광역시 연제구 과정로 302-1,3.6
한식_육류,아우미돈가스,로스까스,7000원,051-865-7604,부산광역시 연제구 배산로 1,5
한식_육류,민수네집,백반,7000원,051-865-0811,부산광역시 연제구 마곡천로 32,5
한식_일반,미를담다&미담삼계탕,활전복 한방 삼계탕,14000원,051-711-0353,부산광역시 연제구 연수로11번길 110,별점 없음
한식_일반,진미국수,순두부찌개,6000원,051-505-9329,부산광역시 연제구 종합운동장로 24,1
중식,석기시대,찐만두,6000원,010-****-****,"부산광역시 중구 동광길 75-1, 1층 (동광동5가)",4
한식_일반,급행,밀면,6000원,051-246-6970,부산광역시 중구 중앙대로 41번길 11-2 (중앙동1가),0
한식_일반,엔스토리,아귀탕(점심),12000원,051-256-2619,"부산광역시 중구 중구로 33번길 6-1, 1층(부평동1가)",4.8
중식,중국관,짜장면,4000원,051-302-8775,부산광역시 사상구 사상로481번길 28(모라동),4
기타양식,퍼짱,양지곰탕,8000원,010-****-****,"부산광역시 중구 충장대로 9번길 21, 1층 (중앙동4가)",4.7
한식_일반,기와집,자연산송이밥,10000원,051-961-8851,부산광역시 중구 대청로 137번길 7-2 (중앙동3가),5
한식_일반,자연분식 소문난칼국수,칼국수,5000원,051-752-1279,부산광역시 수영구 연수로415번길 26(수영동),4.5
이미용업,모완10,커트,12000원,051-337-6667,"부산광역시 북구 만덕2로44번길 72, 107동 108호 (만덕동, 대성종합상가)",0
한식_일반,한상,비빔밥,7000원,051-624-7277,부산광역시 수영구 남천바다로10번길 33(남천1동),0
한식_해산물,통통장어구이,장어구이,25000원,051-754-9001,부산광역시 수영구 광안해변로344번길 9-15(민락동),별점 없음
일식,아케스시,초밥8&데마끼,10000원,051-751-0077,부산광역시 수영구 남천바다로10번길 7(남천동),4.6
중식,명성관,짜장면,6000원,051-756-1638,부산광역시 수영구 광일로9번길 16(광안1동),4.6
한식_찌개류,동해,된장찌개,6000원,051-754-6352,부산광역시 수영구 망미로7번길 59(광안3동),5
세탁업,류박사종합세탁,양복,6000원,051-253-0972,부산광역시 서구 대영로 40 (서대신동1가),3
한식_면류,참들깨나루,들깨칼국수,6000원,051-523-7799,부산광역시 동래구 명장로22번길 28-4(명장동),5
한식_일반,은혜식당,된장찌개,8000원,051-466-1016,부산광역시 동구 초량중로80번길 3(초량동),0
중식,중국관,자장면,5000원,051-757-0411,부산광역시 수영구 호암로29번길 83 (광안2동),4.3
이미용업,경아헤어샵,커트,10000원,010-7343-0636,부산광역시 남구 석포로 53(감만1동),5
한식_일반,국수나라,김밥,2500원,051-628-9983,"부산광역시 남구 천제등로 30, 1층(대연1동)",0
기타양식,김현태베이커리,팥빵,1000원,010-4852-6177,부산광역시 남구 용호로 99(용호동),5
한식_육류,연산숯불갈비청국장뚝배기,청국장,8000원,051-866-5258,부산광역시 연제구 과정로265번가길 5,별점 없음
한식_일반,맛있어요,만두볶이,4000원,051-515-3325,"부산광역시 금정구 중앙대로 1817-11, 1층(구서동)",4
기타서비스업,태양전지,차량용 GB 배터리,50000원,051-525-2726,"부산광역시 금정구 반송로 357-1, 1층(서동)",0
한식_일반,감전재첩국,재첩국,8000원,051-317-3287,부산광역시 사상구 사상로123번길 17(감전동),0
한식_일반,우성숯불갈비,생삼겹살,10000원,051-817-5432,"부산광역시 부산진구 새싹로 86, 2층(범전동)",4.8
한식_일반,팔팔대패,대패삼겹,4500원,051-804-0810,"부산광역시 부산진구 새싹로87, 1층 101호(부압동)",3.8
한식_면류,엄마손칼국수,칼국수,6000원,051-463-6393,부산광역시 동구 수정중로 12(수정동),3.4
기타서비스업,체스보드게임,1시간(후불),2400원,051-583-9632,부산광역시 금정구 금강로 247-12(장전동),5
이미용업,남성컷트,커트,8000원,051-413-3799,"부산광역시 영도구 와치로 266, 1층 102호 (동삼동, 영도벽산비치타운)",0
이미용업,본미용실,커트,8000원,010-4473-8965,부산광역시 영도구 하나길 654(신선동1가),별점 없음
한식_일반,너와집,칼국수,6000원,051-418-0476,부산광역시 영도구 대교로2번길 56(봉래동3가),3.2
한식_일반,아치한상,정식,7000원,010-2307-0989,부산광역시 영도구 태종로765번길 7(동삼동),4.8
한식_일반,도날드즉석 떡뽁기,떡볶이 1인,3000원,051-413-9990,부산광역시 영도구 꿈나무길 267(신선동3가),별점 없음
목욕업,장수탕,목욕 대인,8000원,051-404-0855,부산광역시 영도구 동삼로81번길 28(동삼동),0
한식_일반,가야포차,수구레국밥,8000원,051-417-8885,부산광역시 영도구 남항로 23-1(남항동1가),5
한식_일반,연창돼지국밥,돼지국밥,8000원,051-404-2701,부산광역시 영도구 중리북로 8 (동삼동),4.3
한식_육류,고기밥상,된장찌개정식,8000원,051-416-9292,부산광역시 영도구 남항시장길 342(영선동2가),0
한식_일반,양푼이국수,양푼이국수,5000원,051-403-2245,부산광역시 영도구 절영로 490(동삼동),4.3
한식_일반,반송낙지,낙지볶음,10000원,051-543-3345,부산광역시 해운대구 신반송로182번길 11,0
한식_면류,만나웰빙맛집,국수,6000원,051-781-3708,"부산광역시 동래구 충렬대로 306, 103호(낙민동)",0
기타서비스업,맥스리뷰,"명함(일반,단면)",7700원,051-714-4012,부산광역시 금정구 중앙대로 1776(부곡동),0
양식,펠로,마르게리따,8900원,051-581-1998,부산광역시 금정구 부산대학로63번길 48(장전동),4.4
한식_면류,생생모밀,생모밀/막국수/우동/칼국수,4000원,051-525-5058,부산광역시 금정구 서동로 198(서동),4.5
기타서비스업,냉정실내운전연습장,장내+도로(2종),220000원,051-315-7005,부산광역시 사상구 가야대로 350(주례동) 2층,5
이미용업,가온미용실,남성커트,6000원,051-314-5353,부산광역시 사상구 사상로 218(괘법동) 3층,3.4
이미용업,훈이용원,커트,10000원,010-0000-0000,부산광역시 사하구 사하로141번길 51-6(괴정동),0
한식_육류,한성뒷고기,뒷고기,5000원,051-201-4668,"부산광역시 사하구 낙동대로451번안길 10, 1층(하단동)",0
한식_찌개류,진영소머리곰국,소머리곰국(일반),8000원,051-207-4959,부산광역시 사하구 하신번영로173번길 14(신평동),4.8
기타서비스업,카렘제과,맘모스빵,5000원,051-202-7065,부산광역시 사하구 장평로 433(괴정동),5
이미용업,안젤라헤어필,커트,10000원,051-204-6632,부산광역시 사하구 괴정로232번길 20(괴정동),0
중식,띵호짜장띵호,짜장면,4000원,051-261-9531,부산광역시 사하구 장림번영로 32(장림동),0
이미용업,김머리방,커트,7000원,010-4748-4532,부산광역시 수영구 수미로13번길 14 (망미2동),0
한식_면류,진미 양푼이 촌국수,국수,4000원,070-4388-8540,"부산광역시 동래구 사직북로47번길 30-2,1층(사직동)",2.3
일식,스시몬(몬스시),참치+연어(리필/1인),18000원,051-553-0303,"부산광역시 동래구 삼성대길 40, 1층(명륜동)",별점 없음
한식_면류,소문난손칼국수,손칼국수,5000원,051-524-0419,부산광역시 동래구 명안로86번길 17(명장동),4.2
한식_일반,기토식당,선짓국,7000원,051-632-2999,부산광역시 남구 자유평화로59번길 59(문현2동),4.5
한식_일반,풍각고향육개장,육개장,8000원,051-632-9481,부산광역시 남구 진남로 102(대연6동),5
이미용업,수화헤어,커트,10000원,051-637-2140,부산광역시 남구 전포대로92번길 6(문현2동),0
일식,물레수산 횟집,회비빔밥,10000원,051-631-3919,부산광역시 남구 지게골로 17-12(문현4동),3
한식_일반,하동돼지국밥,돼지국밥,7000원,051-336-4025,부산광역시 북구 만덕대로 68,4.8
한식_육류,거창숯불구이,한우등심(100g),11000원,051-333-7568,부산광역시 북구 만덕1로24번길 7-4(만덕동),0
한식_면류,원조기장손칼국수 기장시장본점,손칼국수,6000원,0507-1369-8757,부산광역시 기장군 기장읍 읍내로 104번길 16,4.8
이미용업,순영헤어샵,커트,10000원,010-2922-1580,부산광역시 수영구 망미번영로60번길 33 (수영동),0
기타서비스업,해변당구장,당구비 작은대대(10분당),1000원,010-000-0000,"부산광역시 사하구 다대낙조1길 5, 2층(다대동)",0
중식,명성짜장,짬뽕,4500원,051-783-8999,부산광역시 해운대구 재반로255번길 6-1(반여동),0
일식,생~생모밀,비빔모밀,3000원,051-523-5058,"부산광역시 해운대구 반여로 157-1, 1층(반여동)",0
한식_일반,우돈정,청소년할인(초등학생),4000원,051-747-2555,"부산광역시 해운대구 중동1로 4, 2층(우동, 동춘빌딩)",별점 없음
한식_일반,순돌이보리밥,찌짐,7000원,051-746-2579,부산광역시 해운대구 해운대해변로 334(중동),별점 없음
숙박업,퀸호텔,숙박(1인),30000원,051-242-3354,부산광역시 서구 충무대로82번길 11,0
한식_육류,하동집,돼지고기(150g),9000원,051-257-3081,부산광역시 서구 구덕로124번길 59-1,4.3
한식_육류,옛날집숯불고기,돼지갈비(200g),10000원,051-243-3930,부산광역시 서구 대영로73번길 11,별점 없음
한식_면류,수짱가,물국수,4500원,051-245-1407,"부산광역시 서구 구덕로334번길 10, 101호",5
한식_일반,알밥덮밥전문점My Place,고기간장계란밥+찌개,6500원,010-8540-7494,부산광역시 금정구 금강로321번길 68(장전동),별점 없음
한식_면류,두근두근 주먹밥,"면요리(우동, 국수)",5000원,010-5527-1395,부산광역시 금정구 수림로85번길 61(장전동),0
한식_일반,정다옥설렁탕,설렁탕,10000원,051-623-1233,"부산광역시 사상구 농산물시장로22, 103호(엄궁동)",3.3
한식_일반,팔도족발,족발(소),17000원,051-996-6079,부산광역시 금정구 서동로 187-7(서동),4
세탁업,크린하우스,정장 1벌 드리아,5000원,051-292-8885,부산광역시 사하구 괴정로232번길 11(괴정동),0
한식_일반,비빔밥멸치국수,김밥,3000원,051-271-2566,"부산광역시 사하구 옥천로75번길 5, 1~2층(감천동)",0
한식_일반,시민돼지국밥,돼지국밥,8000원,051-205-1220,"부산광역시 사하구 사리로 20, 1층(괴정동)",3
중식,후차이,짜장면,6000원,051-328-6000,"부산광역시 사상구 엄궁로 206, 섬진아파트 4차상가 203호",0
한식_일반,진주네,회덮밥,4500원,051-324-3391,부산광역시 사상구 낙동대로766-8(엄궁동),4.1
한식_일반,오륙도낙지,낙지볶음,10000원,051-301-5253,부산광역시 사상구 모라로64(모라동),4.8
한식_일반,삼락하동재첩국,재첩국,8000원,051-301-7200,부산광역시 사상구 낙동대로1518번길33(삼락동),4.1
한식_면류,이상재 함흥냉면,밀면,7000원,051-625-5678,부산광역시 남구 신선로 435,4.6
한식_일반,쌍둥이네 보리밥,보리밥,7000원,051-622-6188,부산광역시 남구 용호로90번길 13-4,5
한식_일반,두메골 청국장,청국장,9000원,051-624-1955,"부산광역시 남구 수영로 205-11, 1층",3.8
한식_일반,서울설렁탕,(양지)설렁탕,8000원,051-529-1341,부산광역시 금정구 개좌로27번길 36(서동),5
한식_일반,화반 부민1호점,비빔밥+김치찌개,8500원,051-255-8727,부산광역시 서구 구덕로 199번길 5,4.9
한식_일반,통발장어,장어구이정식,11000원,051-524-5959,부산광역시 금정구 서부로 22,4
중식,짬뽕땡기는날,짜장면,5000원,051-293-3030,"부산광역시 강서구 명지오션시티10로 16, 상가241가호(명지동)",4.2
한식_일반,나라소머리곰탕,곰탕,8000원,051-865-6336,"부산광역시 부산진구 동평로420번길 13, 1층(양정동)",0
한식_면류,회국수할매집,회국수,7000원,051-817-9260,부산광역시 부산진구 서면문화로 5(부전동),3.5
이미용업,김도형남성컷,커트,8000원,010-5636-5875,부산광역시 수영구 망미번영로38번길86 (광안3동),3.5
한식_분식,김밥마을,김밥,2200원,051-628-5577,부산광역시 수영구 수영로384번길42,4.4
이미용업,남자머리,남성 커트,9000원,010-9853-8255,"부산광역시 수영구 수영로565, 1층",0
한식_한정식,진수성,곰탕,10000원,010-9070-8711,부산광역시 수영구 남천바다로15번길 10,5
한식_일반,하진식당,된장찌개+돈까스,8000원,051-753-5534,"부산광역시 수영구 수영로523, 1층",5
한식_면류,봉평신조막국수,메밀막국수,7900원,051-555-9977,"부산광역시 동래구 동래로147번길2, 1층(복천동)",2.8
한식_면류,부산밀면,물밀면,6000원,051-247-7775,부산광역시 서구 대영로 18번길 13,5
이미용업,명작미용실,파마,22000원,051-465-9775,부산광역시 동구 수정동로 3-1(수정동),0
한식_일반,거북집,복국,10000원,051-247-1100,부산광역시 서구 충무대로 82번길 35,3.6
한식_일반,착한가게,시락국,5000원,010-3565-1269,부산광역시 서구 충무대로 189-6,0
한식_육류,스파생고기,동태탕,8000원,051-231-9407,부산광역시 서구 충무시장길 52,5
한식_육류,남강숯불갈비,된장찌개,7000원,051-254-8108,부산광역시 서구 충무대로 255번길 9,0
한식_일반,아늑한식당,김치찌개,7000원,051-553-9461,부산광역시 동래구 중앙대로1493번길28(온천동),5
한식_일반,부원돼지국밥,돼지국밥,7000원,051-505-6345,부산광역시 동래구 여고로91번길90(사직동),3.8
한식_일반,행복순두부,순두부,6000원,010-2561-4223,"부산광역시 동래구 명장로48번길12, 1층(명장동)",2.3
이미용업,미나헤어,드라이,6000원,051-784-3385,부산광역시 해운대구 해운대로61번길 97 1층(반여동),0
기타양식,데일리 팡,소보로빵,900원,051-731-2297,부산광역시 해운대구 중동1로 38,0
한식_면류,기장멸치국수,멸치국수,4000원,051-632-2224,부산광역시 동구 자성로 133번길 49(범일동),2.9
이미용업,두발할인점,컷트(일반),6000원,010-7345-8129,"부산광역시 동구 초량로13번길 43, 2층(초량동)",0
한식_일반,부성식당,정식,8000원,051-643-1059,부산광역시 동구 자성공원로 17-2(범일동),0
한식_일반,정아밀면돼지국밥,밀면,6000원,051-468-3440,부산광역시 동구 중앙대로251번길 18(초량동),4.3
한식_일반,풍전칼국수,추어탕,9000원,051-462-7617,부산광역시 동구 중앙대로 371번길 23-4(수정동),0
한식_일반,수림,돌솥우동,7000원,051-442-5535,부산광역시 동구 초량중로93번길 12-1(초량동),5
한식_일반,중앙충무김밥 아침n김밥,충무김밥,6500원,051-644-6666,부산광역시 동구 자성공원로 23-3(범일동),별점 없음
한식_육류,대갓집,생삼겹(150g),8000원,051-441-0086,부산광역시 동구 수정로 28(수정동),5
한식_육류,제주암돼지 왕소금구이,암돼지오겹살(130g),9900원,051-633-9285,부산광역시 동구 범일로102번길 9(범일동),5
한식_일반,일미정,한정식,10000원,051-468-6248,부산광역시 동구 고관로29번길 14-1(초량동),4.8
한식_일반,장원돼지국밥,돼지국밥,8000원,051-466-7733,부산광역시 동구 고관로 129-1(수정동),2.9
한식_일반,원앙분식,충무김밥,6500원,051-462-8069,부산광역시 동구 고관로 122-1(수정동),4.4
한식_일반,미락정,된장찌개,9000원,051-466-1547,부산광역시 동구 중앙대로180번길 12-13(초량동),4.8
양식,쇠가리수제돈까스,수제돈까스,8000원,051-464-9232,부산광역시 동구 망양로 735(수정동),4
한식_일반,부광식당,백반/덮밥류,6500원,051-514-9102,부산광역시 금정구 금강로321번길 72(장전동),2.6
한식_일반,초량낙지볶음,낙지볶음,9000원,051-464-9978,부산광역시 동구 중앙대로236번길 7-6(초량동),3.9
중식,자유관,자장면,6000원,051-469-6646,"부산광역시 동구 중앙대로 324, 1층",3.5
한식_일반,범일동양푼이동태백반,동태백반,8000원,051-631-4613,부산광역시 동구 자성공원로 1-6(범일동),4.5
한식_일반,문출래된장,차돌박이 된장찌개,9000원,051-469-9609,부산광역시 동구 중앙대로214번길 3-6(초량동),3.7
한식_일반,초량영동밀면,물밀면,6000원,051-442-5537,부산광역시 동구 대영로243번길 107(초량동),3.7
중식,모리향,짜장면,5500원,051-868-1471,부산광역시 연제구 중앙천로37번가길 34,4.1
한식_육류,유식당,냉동삼겹살(100g),4500원,051-783-0109,부산광역시 해운대구 재반로155,5
기타양식,더커피(THE COFFEE),에이드,3000원,051-782-5222,부산광역시 해운대구 재반로270번길 6,0
기타양식,윤카페,아메리카노,1000원,010-6556-3306,부산광역시 금정구 서부로 12(서동),1
한식_일반,밀양콩나물해장국,콩나물해장국,5000원,051-522-7577,부산광역시 금정구 서동로 196(서동),0
이미용업,김혜선 미용실,커트,10000원,051-514-5816,부산광역시 금정구 금강로 425 (구서동),0
한식_육류,돈갈비,돼지갈비(200g),10000원,051-867-0600,부산광역시 북구 의성로 109번길 34-2(덕천동),0
한식_일반,유식당,대패삼겹살(1인분),3000원,051-583-5773,부산광역시 금정구 동현로16번길 95(부곡동),4.6
한식_면류,정성칼국수,칼국수,4500원,051-323-2370,부산광역시 사상구 새벽시장로56번길 23(감전동),4.2
이미용업,영,커트,6000원,051-311-9683,부산광역시 사상구 낙동대로 760-8(엄궁동),5
이미용업,까꼬뽀꼬,커트,6000원,051-322-8734,부산광역시 사상구 새벽시장로46번길 29(감전동),0
한식_일반,편식,자장면,4000원,051-316-3373,부산광역시 사상구 엄궁남로 38(엄궁동),5
양식,명품수제왕돈까스,왕돈까스,8000원,051-323-8855,"부산광역시 사상구 사상로 208-1, 102호(괘법동,사상티오피)",4.4
한식_일반,오리가,순두부,8000원,051-323-8899,부산광역시 사상구 광장로37번길 73(괘법동),5
한식_면류,만복밀면,밀면,7000원,051-322-5179,부산광역시 사상구 새벽로167번길 61(감전동),3.3
중식,웁스차이나,짜장면,5000원,051-336-8817,부산광역시 북구 시랑로 48,4.7
이미용업,달팽이미용실,커트,7000원,051-342-6164,부산광역시 북구 의성로 115번길 3 1층(덕천동),0
기타서비스업,맘씨생활건강,세탁비누,2000원,051-343-1008,부산광역시 북구 만덕3로 33번길 8(만덕동),5
한식_면류,함흥면옥,설렁탕,8000원,051-987-4326,부산광역시 부산진구 새싹로30.경동파크117호(부전동),4
