업종,업소명,주요품목,가격,연락처,주소,평점
한식_분식,모모분식,라면,3500원,033-562-6848,강원특별자치도 정선군 임계면 송계5길 6-1,4.3
한식_면류,임계막국수,칼국수,7000원,033-562-8218,강원특별자치도 정선군 임계면 백두대간로 1376-2,4.5
한식_일반,동원식당,된장찌개,8000원,033-562-2093,강원특별자치도 정선군 화암면 소금강로 1133,0.0
한식_기타,피고지고,카페모카,4000원,033-591-2468,강원특별자치도 정선군 고한읍 고한6길 9-13,5.0
한식_일반,한우식당,갈비탕,10000원,033-562-2767,강원특별자치도 정선군 정선읍 5일장길 26,3.3
한식_일반,다진네집밥,제육볶음,20000원,010-4850-8025,강원특별자치도 정선군 정선읍 녹송6길 35,0.0
기타양식,단계빵집,단팥빵,2000원,033-731-7765,강원특별자치도 원주시 북원로 2235-12,4.7
한식_일반,청호식당,오삼불고기,12000원,033-563-3539,강원특별자치도 정선군 북평면 북평6길 27,0.0
한식_일반,한상대접,불고기뚝배기,8000원,033-562-8253,강원특별자치도 정선군 북평면 북평6길 14-4,5.0
한식_일반,모꼬지,감자탕(대),35000원,033-562-0107,강원특별자치도 정선군 북평면 북평7길 8,5.0
한식_일반,아라리식당,곤드레돌솥밥,10000원,033-563-7997,강원특별자치도 정선군 북평면 졸드루길 36,4.7
한식_일반,필돈까스,등심돈까스,7500원,033-762-2229,강원특별자치도 원주시 흥업면 남원로 67,0.0
한식_일반,한식뷔페 원미,한식뷔페,7000원,033-761-2700,강원특별자치도 원주시 단관길 67-30,3.5
한식_일반,바우식당,백반/된장찌개,7000원,033-763-5838,강원특별자치도 원주시 흥업면 남원로 53,5.0
한식_일반,대가락,수제돈까스,8500원,033-744-7080,강원특별자치도 원주시 만대로 92,5.0
한식_일반,금성식당,소갈비찜,19000원,033-735-7892,강원특별자치도 원주시 중앙로 28,
숙박업,부론장,2인실(평일/주말동일),40000원,033-732-6132,강원특별자치도 원주시 부론면 법천시장길 70,5.0
한식_일반,댓기리포차,삼겹살 600g,24000원,033-731-0754,강원특별자치도 원주시 문막읍 건등로 16-15,0.0
한식_일반,꿀맛한식뷔페,한식뷔페,7000원,010-8742-9212,강원특별자치도 원주시 지정면 신지정로 205-11,1.5
중식,신림짬뽕,짜장면,6000원,033-763-0211,강원특별자치도 원주시 신림면 치악로 76-2,3.4
한식_일반,슬기네감자탕,고등어구이,10000원,0507-1349-3382,강원특별자치도 원주시 일산로 23 지하1층,5.0
한식_일반,황골보리밥,보리밥,10000원,033-748-2955,강원특별자치도 원주시 운곡로 191,4.7
한식_일반,밥s프렌즈,쫄면,6000원,033-762-8900,강원특별자치도 원주시 치악고교길 1-12,0.0
기타양식,라띠에르베이커리,단팥빵/소보루,1300원,033-743-3018,강원특별자치도 원주시 우산초교길 37,5.0
한식_일반,서래분식,김밥/떡볶이,2000원,033-742-8289,강원특별자치도 원주시 원문로137번길 50,0.0
한식_일반,명산식당,백반,7000원,033-748-7833,강원특별자치도 원주시 이화1길 41-15,0.0
기타서비스업,성균관독서실,관리형(한달),150000원,033-762-0960,강원특별자치도 원주시 남원로 534번길 20,0.0
일식,우메우메,카츠동정식,8000원,033-900-0448,강원특별자치도 원주시 백간공원길 16-3,4.8
한식_일반,순대고,순대국밥2인분,10000원,0507-1369-2989,강원특별자치도 원주시 중앙로 137,4.4
숙박업,또아리하우스,4인 도미토리,25000원,0507-1324-3682,강원특별자치도 원주시 판부면 치악로 966,4.7
기타양식,주가람베이커리,아이스티/유자차,2500원,010-9464-1999,강원특별자치도 원주시 판부면 매봉길 3,0.0
한식_일반,친정밥집,돼지갈비찜,10000원,010-3565-3812,강원특별자치도 원주시 치악로 1964,0.0
이미용업,인코스헤어샵,커트,8000원,033-747-9669,강원특별자치도 원주시 현충로 1,0.0
중식,동일각,짬뽕,7000원,033-743-5777,강원특별자치도 원주시 현충로 58,0.0
한식_일반,바다앤육지,선지해장국,5000원,033-766-0091,강원특별자치도 원주시 단구로 358,4.9
한식_일반,수미감자탕,우거지뼈해장국,7000원,033-743-4858,강원특별자치도 원주시 만대공원길 21,0.0
한식_일반,부론뚝배기감자탕,냉면/열무국수,7000원,033-732-7757,강원특별자치도 원주시 부론면 법천시장길 26,0.0
한식_일반,치악한우암소머리곰탕,소머리곰탕,10000원,033-764-4800,강원특별자치도 원주시 도말리길 35,5.0
한식_일반,청솔보리밥,보리밥,10000원,033-762-5298,강원특별자치도 원주시 판부면 용수골 185,5.0
한식_면류,명품칼국수,칼국수,7000원,033-764-5040,강원특별자치도 원주시 치악로 1827,0.0
기타양식,날으는자전거,아메리카노/시골커피,2500원,0507-1313-6653,강원특별자치도 원주시 판부면 금대길 15-4,4.2
한식_일반,행운식당,가정식백반,7000원,033-766-4282,강원특별자치도 원주시 흥업면 남원로 76,0.0
기타양식,메이카드,아메리카노,3500원,0507-1391-1402,"강원특별자치도 춘천시 복골길6번길 21, 1층(후평동)",0.0
이미용업,신사바버샵,모히칸컷,15000원,0507-1391-8978,강원특별자치도 원주시 남산로 192,0.0
한식_일반,명가광판원주김밥,뽕잎김밥,3000원,033-731-5066,강원특별자치도 원주시 행구로 71,별점 없음
중식,태장반점,짜장면,6000원,033-731-0778,강원특별자치도 원주시 흥양로 18번길 19-47,4.0
한식_면류,석경칼국수,칼국수/수제비,7000원,033-747-1297,강원특별자치도 원주시 석경길 15,4.0
이미용업,골목길미용실,커트,10000원,033-743-5640,강원특별자치도 원주시 평원안길 52,0.0
한식_일반,오늘은청춘포차,마녀족발,23000원,010-3249-7341,강원특별자치도 인제군 강원도 인제군 서화면 천도로 112-2,0.0
이미용업,김태경헤어갤러리,커트,10000원,033-262-6166,강원특별자치도 춘천시 동내면 춘천순환로94번길 4-15,0.0
한식_면류,홍두깨장칼국수,장칼국수,7000원,033-255-5954,강원특별자치도 춘천시 춘추로 147번길 12-4(퇴계동),3.8
한식_일반,장군닭갈비,닭갈비(300g),12000원,033-241-8342,강원특별자치도 춘천시 춘추로 147번길 12-6(퇴계동),5.0
한식_일반,봉수닭갈비,닭갈비,12500원,033-252-8136,"강원특별자치도 춘천시 서부대성로 227번길 3-1, 1층 (효자동)",2.4
한식_일반,(춘천)금산닭갈비,닭갈비,12000원,033-243-3206,강원특별자치도 춘천시 서면 박사로 928,0.0
한식_면류,그랑블루바다향기칼국수,얼큰칼국수,8000원,033-263-2801,강원특별자치도 춘천시 동내면 고은길 168 2층,별점 없음
한식_일반,골목손두부,두부전골,8000원,033-256-6259,강원특별자치도 춘천시 공지로 439번길 16-4(근화동),4.3
한식_면류,와송칼국수,칼국수,6000원,033-255-7600,강원특별자치도 춘천시 명동길 46-1(중앙로3가),5.0
기타양식,춘천커피,아메리카노,2000원,033-241-5274,강원특별자치도 춘천시 서부대성로48번길 11-1(요선동),0.0
한식_일반,장마당,아귀찜(중),30000원,033-673-9889,강원특별자치도 양양군 양양읍 남문9길 7-6,0.0
한식_기타,워터프런트커피,아메리카노,2500원,010-5625-3627,강원특별자치도 양양군 강현면 낙산사로 46 가,4.7
한식_일반,남설악식당,아귀찜(소),30000원,033-671-3035,강원특별자치도 양양군 양양읍 남문5길 15-9,3.8
한식_육류,산촌생등심,등심(200g),33000원,033-673-6408,강원특별자치도 양양군 강현면 안골로 58,3.5
기타서비스업,허리우드당구클럽,사구게임,1200원,-,강원특별자치도 철원군 갈말읍 태봉로 1526-3 지하 1층,3.5
한식_일반,낭만국수집,돌솥비빔밥,8000원,033-251-5688,강원특별자치도 춘천시 서부대성로57번길 2(옥천동),3.5
이미용업,짱미용실,커트,10000원,033-269-7855,강원특별자치도 춘천시 춘천시 지석로 80 286호(시너스카펠라 복합빌딩),3.5
한식_일반,옛촌,백반,8000원,033-254-1511,"강원특별자치도 춘천시 향교앞길 4, 1층(교동)",3.5
이미용업,뷰티 바이올렛,컷트,15000원,033-552-9577,강원특별자치도 태백시 황지로 112,3.5
한식_일반,언덕집,보리밥뷔페,6000원,033-256-2220,"강원특별자치도 춘천시 금강로83번길 6, 2층(운교동)",3.5
한식_일반,영이네순대국,순댓국,9000원,0507-1382-3454,"강원특별자치도 속초시 선사로 8, 1층 우측",0.0
숙박업,스머프하우스,2인 독채(비수기 주중),100000원,0507-1351-8177,강원특별자치도 속초시 하도문2길 7,4.6
한식_면류,인제칼국수,멸치칼국수,7000원,033-461-4662,강원특별자치도 인제군 인제읍 비봉로5번길 7-1,4.8
한식_일반,다둥이네,삼겹살(200g),13000원,033-462-8787,강원특별자치도 인제군 서화면 천도로 144-2,5.0
이미용업,다보헤어크럽,커트,10000원,033-461-7564,강원특별자치도 인제군 남면 신남로 58번길 14,0.0
한식_면류,숙칼국수,닭칼국수,7000원,033-462-3006,강원특별자치도 인제군 기린면 기린로 54,5.0
기타양식,카페루체,아메리카노,2500원,033-462-5667,강원특별자치도 인제군 서화면 천도촌1길 2,5.0
한식_일반,백합식당,오리구이(한마리),60000원,033-461-1261,강원특별자치도 인제군 남면 신풍길 48,4.5
이미용업,베데스다헤어,커트,10000원,033-574-3164,강원특별자치도 삼척시 오십천로 295-7 103호,별점 없음
한식_일반,맹가네해물찜,뚜구리탕,7000원,033-541-5959,강원특별자치도 삼척시 도계읍 도계로4길 16-6,5.0
한식_일반,초원의집,삼겹살,14000원,033-378-1144,강원특별자치도 정선군 신동읍 새골길 8-1,4.8
숙박업,태백산한옥민박,안채(10~16명),200000원,033-552-2367,강원특별자치도 태백시 소롯골길 34,5.0
한식_일반,맛있는치킨,후라이드,15000원,033-552-9982,"강원특별자치도 태백시 해지개길 24, 205호",2.0
한식_일반,인삼닭갈비,인삼닭갈비,9000원,033-553-3096,강원특별자치도 태백시 새시장길 14,4.7
기타양식,커피3000,아메리카노,3000원,-,강원특별자치도 철원군 갈말읍 드르니길 119-29,1.0
이미용업,히즈모,커트,7000원,0507-1434-2101,강원특별자치도 철원군 동송읍 이평로 68-1,5.0
한식_일반,스마일식당,백반,7000원,033645-6888,강원특별자치도 강릉시 경강로2255번길 7(포남동),0.0
한식_일반,빨강돈가스,돈가스,6900원,010-7334-2445,강원특별자치도 강릉시 지변길49,4.5
양식,미트볼하우스 초당점,토마토미트볼스튜파스타,13500원,033-653-6009,강원특별자치도 강릉시 난설헌로203-18,5.0
한식_기타,카페리안,아메리카노,2000원,033-651-7211,강원특별자치도 강릉시 지변길22,5.0
한식_기타,로그엠,에스프레소,3000원,033-646-5045,강원특별자치도 강릉시 화부산로 35-2,5.0
한식_일반,최가네버섯돌이,우렁제육쌈밥,9000원,033-563-4566,강원특별자치도 정선군 정선읍 비봉로 14,0.0
한식_일반,화톳불,두루치기(1인),10000원,033-636-6976,강원특별자치도 속초시 먹거리길 10,4.5
한식_일반,사북짜글이,곱창전골,35000원,033-592-1960,강원특별자치도 정선군 사북읍 사북중앙로 40,5.0
한식_일반,우정식당,돼지모듬구이,35000원,033-591-7773,강원특별자치도 정선군 고한읍 고한2길 67,2.5
한식_일반,맛집장금이네,된장찌개,8000원,033-591-4241,강원특별자치도 정선군 고한읍 고한4길 58-9,3.3
한식_일반,창신동용족발,족발(대),35000원,033-591-8879,강원특별자치도 정선군 고한읍 고한2길 62,5.0
기타서비스업,코랄17,서핑 입문강습,55000원,0507-1341-1983,강원특별자치도 속초시 새마을13길 17,별점 없음
한식_일반,완도회식당,산오징어 물회,15000원,033-631-1418,강원특별자치도 속초시 먹거리4길 21,4.2
양식,돈까스아저씨본점,수제생등심돈가스,8000원,033-633-8856,강원특별자치도 속초시 먹거리7길 18,4.7
기타서비스업,언들,소금빵,2300원,033-637-1784,강원특별자치도 속초시 먹거리길 36,4.8
한식_육류,갯배바비큐,닭갈비 정식,10000원,0507-1339-6627,"강원특별자치도 속초시 중앙부두길 24, 1층 11호",5.0
한식_일반,응봉할매,갈비탕,10000원,033-633-7876,강원특별자치도 속초시 먹거리1길 18,4.0
한식_일반,오늘도감자탕,"감자탕(전골, 1인)",10000원,033-635-3793,"강원특별자치도 속초시 미시령로 3373-11, 1층 103호",5.0
한식_일반,불발탄,양구이(200g),22000원,033-263-9293,강원특별자치도 춘천시 안마산로 213 (퇴계동),5.0
기타서비스업,미션매니아카페,아메리카노,3900원,033-631-5559,"강원특별자치도 속초시 중앙로108번길 5-1, 1층",5.0
기타서비스업,비치카페,아메리카노,4000원,0507-1461-8893,강원특별자치도 속초시 해오름로 129,0.0
한식_육류,약사촌 닭갈비,닭갈비,13000원,033-256-9255,강원특별자치도 춘천시 공지로 384-9 (약사동),4.3
한식_면류,메밀밭감자옹심이메밀칼국수,옹심이칼국수,8000원,033-261-7122,강원특별자치도 춘천시 벌말길 54 (석사동),4.1
숙박업,금강산모텔,숙박료(비수기 주말),50000원,033-671-0066,강원특별자치도 양양군 강현면 해맞이길 8-24,5.0
한식_일반,삼남매,가정식백반,7000원,033-637-5770,"강원특별자치도 춘천시 춘천로170번길 8, 1층(운교동)",5.0
중식,연화각,짜장면,6000원,033-256-5863,강원특별자치도 춘천시 충혼길52번길 20-23 (온의동),5.0
일식,누이네,회덮밥,9000원,033-251-2261,강원특별자치도 춘천시 영서로2279번길 25 (온의동),0.0
한식_일반,호반식당,김치찌개,7000원,033-256-0848,강원특별자치도 춘천시 당간지주길 81 (소양로1가),5.0
한식_일반,바탕골분식,김치찌개,7000원,033-254-3564,강원특별자치도 춘천시 서부대성로44번길 19(요선동),0.0
한식_일반,춘천집,물냉면,8000원,033-264-2313,강원특별자치도 춘천시 공지로 61-4 (석사동),4.6
한식_면류,손칼국수,손칼국수,7000원,033-434-0906,강원특별자치도 홍천군 홍천읍 홍천로 8길 9,4.3
한식_일반,부진전,두루치기,9000원,033-256-5989,강원특별자치도 춘천시 영서로2279번길 24 (온의동),4.1
한식_면류,미라네 해물칼국수,장칼국수,8000원,033-252-2205,강원특별자치도 춘천시 충혼길44번길 18 (온의동),4.3
한식_일반,밥짓는마을,한식뷔페,6000원,033-242-2624,"강원특별자치도 춘천시 중앙로63-1, 2층(중앙로2가)",4.9
한식_일반,동부지짐이다정,삼겹살(200g),12000원,0507-1339-3946,"강원특별자치도 춘천시 동부시장길 8, 지하1층 3호 (운교동, 동부시장현대아파트)",0.0
한식_육류,강남동골목원조닭갈비,닭갈비(300g),13000원,033-251-5909,강원특별자치도 춘천시 충혼길 52번길 20-4 (온의동),4.8
한식_일반,양지뜨락,손두부전골,8000원,033-244-6690,강원특별자치도 춘천시 동면 만천양지길 114,4.3
한식_해산물,유봉해물찜,아구찜(소),25000원,033-243-3323,강원특별자치도 춘천시 퇴계로 63-1(퇴계동),5.0
기타서비스업,카페 학곡,아메리카노,4000원,010-5929-1304,"강원특별자치도 춘천시 동내면 학곡서길19, 1층",4.5
한식_일반,백령밥집,가정식 백반,6000원,033-241-2287,"강원특별자치도 춘천시 백령로 182, 1층(후평동)",5.0
기타양식,반타이,팟카파오무쌉,8000원,010-9822-1440,"강원특별자치도 춘천시 낙원길 37, 2층(낙원동)",4.2
기타양식,홍천빵집,팥빵,1500원,033-435-0131,강원특별자치도 홍천군 홍천읍 홍천로 8길 13,4.0
이미용업,오드리 햅번,커트,12000원,033-252-0111,"강원특별자치도 춘천시 옛경춘로 492, 101호(칠전동, 대우아파트상가)",0.0
한식_면류,춘일막국수,막국수,6000원,033-455-0266,강원특별자치도 철원군 동송읍 이평1로 19,4.8
한식_육류,지포차,막창,12000원,0507-1442-2850,강원특별자치도 철원군 갈말읍 삼부연로 18번길 8-12,0.0
한식_육류,정원본가,생삼겹살,13000원,033-452-8295,강원특별자치도 철원군 삼부연로18번길 27,4.0
한식_육류,육해공 능이집,두부두루치기,8000원,033-452-2320,강원특별자치도 철원군 갈말읍 삼부연로 18번길 8-14,0.0
기타양식,어울림카페,아메리카노,3500원,033-452-1999,강원특별자치도 철원군 동송읍 태봉로 1825-1,4.6
이미용업,문혜 헤어샵,여성커트,12000원,033-452-5436,강원특별자치도 철원군 갈말읍 두루미로 97,0.0
한식_면류,양구장칼국수,장칼국수,6000원,033-482-0051,강원특별자치도 양구군 양구읍 중심로 41-7,3.6
기타서비스업,올큐브독서실,1인실 한달,10000원,033-252-5558,"강원특별자치도 춘천시 삭주로 150 3,4층 (후평동)",0.0
숙박업,시네마모텔,일반실(평일),33000원,033-241-1575,강원특별자치도 춘천시 동면 가산로 153,1.0
이미용업,숙 미용실,커트,5000원,033-253-9217,강원특별자치도 춘천시 공지로 432-1 (근화동),0.0
이미용업,왕언니네미장원,커트,8000원,010-5366-2226,강원특별자치도 춘천시 중앙로 77-2 (중앙로2가),별점 없음
세탁업,프롬런드리카페,와이셔츠,1300원,0507-1333-8300,강원특별자치도 원주시 백간공원길 19-3,5.0
이미용업,헤어티 (Hair t),커트,10000원,033-244-3478,"강원특별자치도 춘천시 후석로 459, 104호(후평동, 극동아파트 상가)",별점 없음
이미용업,가위소리 머리방,커트,12000원,033-243-2969,"강원특별자치도 춘천시 신북읍 율문길 105, 1층",0.0
한식_일반,하마집,가정식백반,6000원,033-257-4233,강원특별자치도 춘천시 후석로369번길 2(후평동),5.0
한식_일반,함지박,그냥주물럭,7000원,0507-1409-1195,강원특별자치도 춘천시 만천로199번길 30(후평동),3.2
한식_면류,국수닭,닭국수,6500원,033-262-6399,강원특별자치도 춘천시 남춘로 36번길 48 (퇴계동),4.3
한식_일반,안가네밥집,두부전골,7000원,033-255-0528,"강원특별자치도 춘천시 남춘로25번길 4-1, 1층(퇴계동)",3.7
한식_육류,팔도숯불구이,생삼겹(200g),14000원,033-242-5885,강원특별자치도 춘천시 춘주로92번길 9-3(온의동),4.8
한식_일반,대박칼만두,만두전골,10000원,033-733-0945,강원특별자치도 원주시 문막읍 건등로 20-19,0.0
한식_일반,장군돼지부속,돼지모듬 600g,33000원,0507-1333-9527,강원특별자치도 원주시 토지길 31-14,5.0
한식_일반,고기만세,삼겹살(200g),9900원,010-5688-2005,강원특별자치도 원주시 흥양로18번길 19-33,5.0
한식_일반,남애갯마을,코다리조림(점심),10000원,033-766-7993,강원특별자치도 원주시 개운로 55,0.0
한식_일반,동태랑코다리랑,코다리찜,22000원,033-743-5999,강원특별자치도 원주시 평원로 37-1,4.0
기타양식,카페셜리,아메리카노,3000원,070-7371- 0901,강원특별자치도 원주시 문막읍 원문로 1640,5.0
기타양식,더판다천매점,아메리카노,3000원,033-761-7698,강원특별자치도 원주시 천매봉길 126-28,5.0
기타양식,파이앤버터,아메리카노,2000원,0507-1324-9830,강원특별자치도 원주시 한지공원길 188,5.0
기타양식,암스퀘어 커피로스터스,에스프레소,1800원,0507-1336-5240,강원특별자치도 원주시 천사로 172 101호,4.9
한식_일반,내고향생고기,육회 소,24000원,033-731-2323,강원특별자치도 원주시 지정면 신지정로 325-2 421동 101호,0.0
한식_일반,횡성떡집,인절미한팩,2500원,033-765-5245,"강원특별자치도 원주시 치악로 1803, 1층 13호 남부시장",0.0
기타양식,카페하임,아메리카노,3000원,010-4349-0153,강원특별자치도 원주시 북원로 2718번길 18,0.0
이미용업,진헤어,커트,10000원,033-744-3572,강원특별자치도 원주시 현충로 234-13 상록프라자,0.0
기타서비스업,일산동양복점,자켓대여,30000원,0507-1342-5847,강원특별자치도 원주시 천사로 145,0.0
이미용업,안녕예쁜아&아카데미,케라틴펌,35000원,0507-1463-2720,강원특별자치도 원주시 치악고교길 25-2,5.0
한식_일반,신장터국밥,뼈다귀해장국,7000원,033-743-7779,강원특별자치도 원주시 평원로 73,5.0
기타양식,오롯한한그릇,새우볶음밥,8000원,010-4344-9963,강원특별자치도 영월군 영월읍 제방안길 16-1 중앙시장 2층 203호,0.0
한식_일반,동네밥상,요일백반,7000원,010-8880-7636,강원특별자치도 원주시 신림면 치악로 8,0.0
기타양식,더판다관설점,아메리카노,3000원,033-766-7698,강원특별자치도 원주시 치악고교길 24-7,별점 없음
이미용업,더뷰티인사이드,젤네일,35000원,0507-1334-7105,강원특별자치도 원주시 보수골1길 15-1 상가 102호,0.0
한식_일반,강릉장칼국수국밥,얼큰굴국밥,6900원,010-3369-2929,강원특별자치도 원주시 동부순환로 313,5.0
이미용업,블루밍아이래쉬,속눈썹연장,33000원,010-9467-6109,강원특별자치도 원주시 혁신로 37-2,0.0
한식_일반,정담콩나물 국밥혁신점,콩나물국밥,5000원,010-4017-3156,강원특별자치도 원주시 건강로 25,4.0
중식,연강춘,짜장면,5000원,033-742-3163,강원특별자치도 원주시 원일로 148-7,3.5
기타양식,예인로스팅,아메리카노,2500원,033-766-4064,"강원특별자치도 원주시 서원대로 383, 122호",3.0
한식_일반,아무거나,김치찌개(2인분),15000원,033-262-6827,강원특별자치도 춘천시 벌말길 64(석사동),0.0
이미용업,오드리,커트,12000원,010-2030-7553,강원특별자치도 영월군 영월읍 중앙1로 38,0.0
이미용업,상동미용실,커트,10000원,033-378-1916,강원특별자치도 영월군 상동읍 상동시장길 24,0.0
기타서비스업,일렁,카페라떼,4000원,010-9301-8769,강원특별자치도 강릉시 하평5길 20-1,4.0
한식_일반,푸주촌,설렁탕,7000원,033-373-2009,강원특별자치도 영월군 영월읍 관풍헌길 59,4.8
한식_육류,일미숯불갈비,삼겹살,14000원,033-681-0666,강원특별자치도 고성군 거진읍 거진길 38-5,0.0
일식,수산물횟집,물회,15000원,033-682-2477,강원특별자치도 고성군 거진읍 거진시장길 15-1,5.0
세탁업,용궁세탁소,정장한벌,5000원,033-643-8098,강원특별자치도 강릉시 경강로2246번길 4,0.0
이미용업,강중이용소,커트,10000원,010-8796-6058,강원특별자치도 강릉시 강중길 20,5.0
이미용업,이은영헤어,파마,25000원,010-3370-6837,강원특별자치도 강릉시 강중길 30,0.0
이미용업,환희머리방,파마,20000원,010-9480-6944,강원특별자치도 강릉시 노암길42번길 24,0.0
한식_일반,돈까스보이,돈까스,7000원,033-655-2332,강원특별자치도 강릉시 교동 1834-5,5.0
한식_육류,우리한우상회,한우모듬(150g),19000원,033-647-8253,강원특별자치도 강릉시 선수촌로63번길 30-10,
한식_일반,모모김밥,김밥,2500원,033-653-0808,강원특별자치도 강릉시 성덕포남로 174번길 35,5.0
기타서비스업,공대카페2호점,아메리카노,2000원,010-9949-1474,강원특별자치도 강릉시 지변길 16(지변동),5.0
한식_일반,청정해역,회덮밥,12000원,033-637-0027,"강원특별자치도 속초시 번영로129번길 22, 상가동 B07호",4.1
한식_일반,산두꺼비,오징어볶음,9000원,033-645-7371,강원특별자치도 강릉시 남구길18번길 36,4.0
기타서비스업,카페라움,아메리카노,2500원,033-643-9654,강원특별자치도 강릉시 금성로23번길 16(성남동),5.0
기타서비스업,커피나누기,아메리카노,2500원,033-646-6336,강원특별자치도 강릉시 금성로23번길 14(성남동),0.0
기타서비스업,뮤토로스팅플랜트2,카페라떼,4500원,0507-1348-1271,강원특별자치도 속초시 이목로 21-3,0.0
한식_일반,문어랑,문어삼합(소),50000원,033-632-6951,"강원특별자치도 속초시 영랑해안7길 18, 1층",3.5
한식_일반,경아식당,돌솥비빔밥,8000원,033-636-2774,"강원특별자치도 속초시 중앙로147번길 16, 2층 158호",0.0
한식_일반,금주언니포장마차,육회,25000원,010-5164-9923,강원특별자치도 속초시 청대로204번길 18,0.0
한식_일반,화진호이선장네,대구탕,15000원,033-631-0750,"강원특별자치도 속초시 먹거리4길 18-1, 1층",4.0
한식_일반,먹거리포차,장치매운탕,30000원,033-631-4007,강원특별자치도 속초시 먹거리5길 21,0.0
한식_일반,금강산녹각삼계탕,녹각삼계탕,18000원,033-635-3080,강원특별자치도 속초시 먹거리6길 3,1.0
한식_육류,가온,"생삼겹살 (200g, 국내산)",15900원,033-633-0110,"강원특별자치도 속초시 엑스포로1길 38, 1층",4.9
한식_면류,동해장칼국수,장칼국수,7000원,033-532-2556,강원특별자치도 동해시 일출로 2-6,3.8
숙박업,잠자리 민박,1박(13평),80000원,033-345-6269,강원특별자치도 횡성군 서원면 서원서로 810,3.7
이미용업,운향헤어샵,커트,12000원,033-345-9362,강원특별자치도 횡성군 횡성읍 문정로19번길18,0.0
