업종,업소명,주요품목,가격,연락처,주소,"주소_구,군",keyword,평점
한식_일반,태흥정육식당,돼지제육 백반,8000원,032-522-8252,"인천광역시 부평구 주부토로146번길 32, 1층(갈산동)","인천광역시 부평구 주부토로146번길 32, 1층(갈산동)",인천광역시 부평구 태흥정육식당,5.0
한식_일반,철이네손수제비랑칼국수(신포),얼큰수제비,6000원,032-777-1159,"인천광역시 중구 개항로 9-1, 1층(중앙동4가)","인천광역시 중구 개항로 9-1, 1층(중앙동4가)",인천광역시 중구 철이네손수제비랑칼국수(신포),5.0
한식_면류,월미식당,짜장면,6000원,032-761-6800,인천광역시 중구 월미로234번길 6(북성동1가),인천광역시 중구 월미로234번길 6(북성동1가),인천광역시 중구 월미식당,5.0
한식_일반,골목집,칼국수,6000원,032-765-3149,인천광역시 중구 신포로 32-22(신포동),인천광역시 중구 신포로 32-22(신포동),인천광역시 중구 골목집,5.0
기타서비스업,소품&공방,만들기 체험,2000원,032-575-2810,인천광역시 서구 가정로308번길 18 (석남동),인천광역시 서구 가정로308번길 18 (석남동),인천광역시 서구 소품&공방,5.0
한식_일반,대박한식뷔페,어른,7000원,0504-866-2116,인천광역시 서구 거북로 67-2 (석남동),인천광역시 서구 거북로 67-2 (석남동),인천광역시 서구 대박한식뷔페,0.0
이미용업,강남헤어스타일,컷트,10000원,032-582-5820,인천광역시 서구 길주로76번길 29 (석남동),인천광역시 서구 길주로76번길 29 (석남동),인천광역시 서구 강남헤어스타일,0.0
한식_육류,미소곱창,야채곱창 중,18000원,032-576-1368,인천광역시 서구 석곶로 11 (가정동),인천광역시 서구 석곶로 11 (가정동),인천광역시 서구 미소곱창,0.0
중식,마니산손짜장,짜장면,3000원,032-937-8249,인천광역시 강화군 양도면 가능포로 221,인천광역시 강화군 양도면 가능포로 221,인천광역시 강화군 마니산손짜장,3.6
한식_면류,고향모밀촌,온모밀,5500원,032-467-0995,인천광역시 남동구 복개동로 6(만수동),인천광역시 남동구 복개동로 6(만수동),인천광역시 남동구 고향모밀촌,3.3
중식,서인반점,자장면,6000원,032-464-5365,인천광역시 남동구 하촌서로 13(만수동),인천광역시 남동구 하촌서로 13(만수동),인천광역시 남동구 서인반점,4.2
한식_일반,맛깔김밥,김밥,3000원,032-433-2355,인천광역시 남동구 백범로 312-64(간석동),인천광역시 남동구 백범로 312-64(간석동),인천광역시 남동구 맛깔김밥,3.3
이미용업,끼머리방,컷트,7000원,032-468-8475,인천광역시 남동구 용천로 104-1(구월동),인천광역시 남동구 용천로 104-1(구월동),인천광역시 남동구 끼머리방,3.3
한식_면류,행복손칼국수,손칼국수,6000원,032-555-0221,인천광역시 계양구 계산로 83(계산동),인천광역시 계양구 계산로 83(계산동),인천광역시 계양구 행복손칼국수,0.0
한식_일반,차종인설렁탕,설렁탕,7500원,032-543-6892,인천광역시 계양구 양지로 44(동양동),인천광역시 계양구 양지로 44(동양동),인천광역시 계양구 차종인설렁탕,0.0
한식_육류,신포대패,신포대패(120g),7000원,032-765-5237,인천광역시 중구 개항로 23(관동3가),인천광역시 중구 개항로 23(관동3가),인천광역시 중구 신포대패,5.0
중식,도래순,짜장면,6000원,032-766-3907,"인천광역시 중구 신포로15번길 68-1, 1층(해안동2가)","인천광역시 중구 신포로15번길 68-1, 1층(해안동2가)",인천광역시 중구 도래순,4.2
한식_일반,토담골,조기구이(+된장찌개),9000원,032-773-5003,"인천광역시 중구 신포로23번길 42-1, 1층(중앙동3가)","인천광역시 중구 신포로23번길 42-1, 1층(중앙동3가)",인천광역시 중구 토담골,4.5
한식_일반,청수식당,오삼불고기,8000원,032-765-8586,인천광역시 중구 제물량로206번길 3(해안동2가),인천광역시 중구 제물량로206번길 3(해안동2가),인천광역시 중구 청수식당,0.0
중식,금성반점,짜장면,2000원,032-937-8559,인천광역시 강화군 양도면 강화남로 736,인천광역시 강화군 양도면 강화남로 736,인천광역시 강화군 금성반점,3.8
한식_일반,남원골추어탕,강황밥추어탕,9000원,032-543-5588,인천광역시 계양구 계양대로 122(작전동),인천광역시 계양구 계양대로 122(작전동),인천광역시 계양구 남원골추어탕,4.0
한식_육류,촌장서서갈비,불뚝배기,8000원,032-505-0292,"인천광역시 부평구 부평대로165번길 10, 2층 203,204호(부평동)","인천광역시 부평구 부평대로165번길 10, 2층 203,204호(부평동)",인천광역시 부평구 촌장서서갈비,4.6
한식_면류,어머니홍두깨칼국수,잔치국수,3000원,032-522-6669,"인천광역시 부평구 부흥로316번길 37, 1층 21호(부평동)","인천광역시 부평구 부흥로316번길 37, 1층 21호(부평동)",인천광역시 부평구 어머니홍두깨칼국수,3.6
한식_일반,포동포동,생고기김치찌개,7000원,032-330-3032,"인천광역시 부평구 안남로 261, 113호(산곡동,전방프라자)","인천광역시 부평구 안남로 261, 113호(산곡동,전방프라자)",인천광역시 부평구 포동포동,5.0
한식_일반,서가면옥,한방보쌈정식,10000원,032-506-9432,"인천광역시 부평구 신촌로68-1, 1층(부평동)","인천광역시 부평구 신촌로68-1, 1층(부평동)",인천광역시 부평구 서가면옥,5.0
한식_면류,아구오구,"아구찜,탕",12000원,032-513-5841,"인천광역시 부평구 일신로8번길 32, 라동 103호(일신동)","인천광역시 부평구 일신로8번길 32, 라동 103호(일신동)",인천광역시 부평구 아구오구,5.0
이미용업,머리하는날,여성커트,5000원,032-519-7801,인천광역시 부평구 항동로7번길 43(부개동),인천광역시 부평구 항동로7번길 43(부개동),인천광역시 부평구 머리하는날,0.0
한식_면류,홍두깨 손칼국수,고기만두,4000원,032-577-7808,인천광역시 서구 석곶로8번길 7-7 (가정동),인천광역시 서구 석곶로8번길 7-7 (가정동),인천광역시 서구 홍두깨 손칼국수,3.0
이미용업,헤어랑,컷트(남),12000원,032-584-2468,"인천광역시 서구 신석로 71, 월드메르디앙 상가동104호","인천광역시 서구 신석로 71, 월드메르디앙 상가동104호",인천광역시 서구 헤어랑,0.0
중식,만흥,짜장면,6000원,032-574-5553,"인천광역시 서구 신석로 56, 1층(석남동)","인천광역시 서구 신석로 56, 1층(석남동)",인천광역시 서구 만흥,4.7
이미용업,패션헤어크리닉,커트,8000원,032-549-0799,인천광역시 계양구 장제로 946번길 14,인천광역시 계양구 장제로 946번길 14,인천광역시 계양구 패션헤어크리닉,0.0
한식_일반,놀부홍두깨칼국수,돈가스,7000원,010-7721-1693,"인천광역시 계양구 계양산로215번길 4, 1층(병방동)","인천광역시 계양구 계양산로215번길 4, 1층(병방동)",인천광역시 계양구 놀부홍두깨칼국수,3.0
중식,짬뽕집,등심탕수육,18000원,010-2731-8115,인천광역시 부평구 배곶북로 19(십정동),인천광역시 부평구 배곶북로 19(십정동),인천광역시 부평구 짬뽕집,4.6
한식_면류,모밀지기,온모밀,5000원,032-467-7956,인천광역시 남동구 구월로372번길 83(만수동),인천광역시 남동구 구월로372번길 83(만수동),인천광역시 남동구 모밀지기,4.7
중식,짜장일번지,자장면,5000원,032-461-2802,인천광역시 남동구 복개동로 8(만수동),인천광역시 남동구 복개동로 8(만수동),인천광역시 남동구 짜장일번지,5.0
한식_일반,두리왕돈까스,돈까스,6500원,032-467-5522,"인천광역시 남동구 장승남로 42, 105호(만수동)","인천광역시 남동구 장승남로 42, 105호(만수동)",인천광역시 남동구 두리왕돈까스,4.7
한식_면류,국수마을,잔치국수,5000원,032-467-3393,인천광역시 남동구 하촌서로 12(만수동),인천광역시 남동구 하촌서로 12(만수동),인천광역시 남동구 국수마을,5.0
한식_일반,부평뼈해장국,된장찌개,6000원,032-514-7767,인천광역시 부평구 주부토로66번길 1(부평동),인천광역시 부평구 주부토로66번길 1(부평동),인천광역시 부평구 부평뼈해장국,3.8
양식,샐돈키친,감동가스,5500원,032-512-5036,인천광역시 부평구 갈월서로 46(갈산동),인천광역시 부평구 갈월서로 46(갈산동),인천광역시 부평구 샐돈키친,2.5
한식_일반,로데오 친구들,제육덮밥,7000원,032-523-3814,인천광역시 부평구 부평문화로65번길 13(부평동),인천광역시 부평구 부평문화로65번길 13(부평동),인천광역시 부평구 로데오 친구들,4.0
세탁업,오시오크리닝,원피스,1000원,032-528-3232,인천광역시 부평구 부평대로40번길 28 (부평동),인천광역시 부평구 부평대로40번길 28 (부평동),인천광역시 부평구 오시오크리닝,0.0
이미용업,단헤어,커트,11000원,032-502-6778,인천광역시 부평구 남부역로 13(부평동),인천광역시 부평구 남부역로 13(부평동),인천광역시 부평구 단헤어,5.0
이미용업,머리사랑미용실,70세이상 커트,8000원,010-3904-5315,인천광역시 부평구 장제로373번길 30(갈산동),인천광역시 부평구 장제로373번길 30(갈산동),인천광역시 부평구 머리사랑미용실,0.0
한식_일반,진수성찬,백반,6000원,032-506-5987,인천광역시 부평구 신트리로 14(부평동),인천광역시 부평구 신트리로 14(부평동),인천광역시 부평구 진수성찬,5.0
한식_면류,우리동네홍두깨손칼국수,칼국수,6000원,032-423-3559,인천광역시 남동구 용천로168번길 14(간석동),인천광역시 남동구 용천로168번길 14(간석동),인천광역시 남동구 우리동네홍두깨손칼국수,5.0
한식_일반,김밥타운,칼국수,5500원,032-863-6690,인천광역시 미추홀구 인하로 259(주안동),인천광역시 미추홀구 인하로 259(주안동),인천광역시 미추홀구 김밥타운,3.0
한식_일반,김재국만두전문점,고기만두,4500원,032-556-8980,인천광역시 계양구 주부토로 530(계산동),인천광역시 계양구 주부토로 530(계산동),인천광역시 계양구 김재국만두전문점,4.5
중식,만복짬뽕집,옛날짜장,6500원,032-547-1999,인천광역시 계양구 벌말로 618(하야동),인천광역시 계양구 벌말로 618(하야동),인천광역시 계양구 만복짬뽕집,3.5
한식_일반,델리푸드,한식부페,6000원,032-468-2502,인천광역시 남동구 백범로124번길 7(만수동),인천광역시 남동구 백범로124번길 7(만수동),인천광역시 남동구 델리푸드,0.0
기타양식,슈가로프 베이커리,베이비 슈,700원,032-561-0456,"인천광역시 서구 고산후로95번길 18, 리빙프라자 104호 (당하동)","인천광역시 서구 고산후로95번길 18, 리빙프라자 104호 (당하동)",인천광역시 서구 슈가로프 베이커리,5.0
한식_일반,보리밥잔치,어린이국수,1500원,비공개,인천광역시 서구 원당대로 866 (당하동),인천광역시 서구 원당대로 866 (당하동),인천광역시 서구 보리밥잔치,4.5
한식_일반,왕소참숯불구이,육개장,9500원,032-218-1592,인천광역시 서구 길주로 119(석남동),인천광역시 서구 길주로 119(석남동),인천광역시 서구 왕소참숯불구이,3.7
기타양식,골든브라운,아메리카노,2000원,032-579-1821,인천광역시 서구 가정로293번길 8 (석남동),인천광역시 서구 가정로293번길 8 (석남동),인천광역시 서구 골든브라운,0.0
한식_면류,장터엔 국수,잔치국수,3000원,032-575-5170,인천광역시 서구 강남로 16 강남시장 내 (석남동),인천광역시 서구 강남로 16 강남시장 내 (석남동),인천광역시 서구 장터엔 국수,3.0
한식_일반,하나식당,생선구이+청국장,10000원,032-583-5097,"인천광역시 서구 염곡로 262, 쉼터교회 내 1층 (석남동)","인천광역시 서구 염곡로 262, 쉼터교회 내 1층 (석남동)",인천광역시 서구 하나식당,5.0
한식_면류,대부도바지락칼국수,칼국수,5000원,032-581-7701,인천광역시 서구 가정로307번길 11-1 (석남동),인천광역시 서구 가정로307번길 11-1 (석남동),인천광역시 서구 대부도바지락칼국수,3.6
한식_일반,회마트,광어회(중),27000원,032-777-2077,인천광역시 중구 개항로96번길 27(율목동),인천광역시 중구 개항로96번길 27(율목동),인천광역시 중구 회마트,5.0
중식,여명차이나,자장면,5000원,032-465-5522,"인천광역시 남동구 장승로 49-1, 1층(만수동)","인천광역시 남동구 장승로 49-1, 1층(만수동)",인천광역시 남동구 여명차이나,1.0
이미용업,윤헤어살롱,컷트,15000원,0507-1441-7401,인천광역시 서구 고산후로 144 (원당동),인천광역시 서구 고산후로 144 (원당동),인천광역시 서구 윤헤어살롱,0.0
이미용업,아미헤어,뿌리염색,20000원,032-564-2245,"인천광역시 서구 완정로 57-1, 2층 (마전동)","인천광역시 서구 완정로 57-1, 2층 (마전동)",인천광역시 서구 아미헤어,3.0
한식_일반,영우동,영우동,4500원,032-212-1888,인천광역시 계양구 임학동로 49(임학동),인천광역시 계양구 임학동로 49(임학동),인천광역시 계양구 영우동,4.0
한식_일반,몽실식당,냉면+불고기,8500원,032- 765-1650,인천광역시 동구 화평로 4(화평동),인천광역시 동구 화평로 4(화평동),인천광역시 동구 몽실식당,0.0
한식_일반,대청마루감자탕,뼈해장국,8000원,032- 773-1885,인천광역시 동구 금곡로 104(송림동),인천광역시 동구 금곡로 104(송림동),인천광역시 동구 대청마루감자탕,4.0
한식_일반,일월아구,쭈꾸미쌈밥정식,8000원,032- 773-5076,"인천광역시 동구 수문통로 4, 2층(송현동)","인천광역시 동구 수문통로 4, 2층(송현동)",인천광역시 동구 일월아구,5.0
기타서비스업,낙원당구장,대대(10분),1600원,070-4962-9316,"인천광역시 부평구 동암광장로 6, 3층(십정동)","인천광역시 부평구 동암광장로 6, 3층(십정동)",인천광역시 부평구 낙원당구장,0.0
이미용업,짱구머리,커트,8000원,032-505-8842,인천광역시 부평구 경인로 1100(부개동),인천광역시 부평구 경인로 1100(부개동),인천광역시 부평구 짱구머리,0.0
이미용업,컷맨컷보이,일반커트,8000원,032-330-4030,"인천광역시 부평구 부평문화로194번길 2, 1층(부개동)","인천광역시 부평구 부평문화로194번길 2, 1층(부개동)",인천광역시 부평구 컷맨컷보이,0.0
한식_일반,할매왕족발순대,순대국밥,8000원,032-772-6919,인천광역시 중구 우현로45번길 11(신포동),인천광역시 중구 우현로45번길 11(신포동),인천광역시 중구 할매왕족발순대,5.0
기타양식,임계동커피집,아메리카노,2500원,032-505-9133,"인천광역시 부평구 주부토로81번길 50, 래미안C상가 221호(부평동)","인천광역시 부평구 주부토로81번길 50, 래미안C상가 221호(부평동)",인천광역시 부평구 임계동커피집,5.0
중식,연수차이나,자장면,4000원,822-5544,인천광역시 연수구 먼우금로 252번길 12(연수동),인천광역시 연수구 먼우금로 252번길 12(연수동),인천광역시 연수구 연수차이나,0.0
이미용업,엠에스와이아름다운차이,컷트(경로),7000원,032-469-7889,"인천광역시 남동구 소래로687번길 16, 1층 1호(만수동)","인천광역시 남동구 소래로687번길 16, 1층 1호(만수동)",인천광역시 남동구 엠에스와이아름다운차이,0.0
한식_일반,항아리필,한식뷔페,7000원,070-8848-5418,인천광역시 남동구 인주대로888번길 35(만수동),인천광역시 남동구 인주대로888번길 35(만수동),인천광역시 남동구 항아리필,0.0
한식_일반,해주식당,백반,8000원,032-888-4009,인천광역시 동구 화도진로 44번길 3,인천광역시 동구 화도진로 44번길 3,인천광역시 동구 해주식당,5.0
한식_일반,한울타리,청국장,7000원,032-221-8887,인천광역시 동구 석수로 47-1(만석동),인천광역시 동구 석수로 47-1(만석동),인천광역시 동구 한울타리,0.0
한식_일반,착한탕국,선지해장국 2인분,7000원,032-465-8294,인천광역시 남동구 호구포로800번길 17(구월동),인천광역시 남동구 호구포로800번길 17(구월동),인천광역시 남동구 착한탕국,4.0
한식_일반,어머니밥상,강된장비빔밥,7000원,032-556-6330,"인천광역시 계양구 오조산로57번길15, 3층(계산동)","인천광역시 계양구 오조산로57번길15, 3층(계산동)",인천광역시 계양구 어머니밥상,0.0
이미용업,레인보우,이발,10000원,032-506-4759,"인천광역시 부평구 남부역로 20번길 16, 101호 (부평동)","인천광역시 부평구 남부역로 20번길 16, 101호 (부평동)",인천광역시 부평구 레인보우,0.0
세탁업,현대세탁소,바지,4000원,032-891-5252,"인천광역시 중구 인항로 34, 1층 102호 (신흥동3가)","인천광역시 중구 인항로 34, 1층 102호 (신흥동3가)",인천광역시 중구 현대세탁소,0.0
한식_일반,꿀꿀이만찬,순대국,8000원,010-8818-7218,인천광역시 옹진군 영흥면 선재로342(선재리),인천광역시 옹진군 영흥면 선재로342(선재리),인천광역시 옹진군 꿀꿀이만찬,4.1
한식_일반,풍년막걸리,김치전,6000원,070-4028-6766,인천광역시 계양구 장제로875번길 10-1(임학동),인천광역시 계양구 장제로875번길 10-1(임학동),인천광역시 계양구 풍년막걸리,0.0
이미용업,유진헤어,"컷트(학생,경로)",7000원,032-462-3955,인천광역시 남동구 담방서로17번길 25(만수동),인천광역시 남동구 담방서로17번길 25(만수동),인천광역시 남동구 유진헤어,0.0
중식,중국관,자장면,5500원,032-441-0644,"인천광역시 남동구 은봉로312번길 23, 1층(논현동)","인천광역시 남동구 은봉로312번길 23, 1층(논현동)",인천광역시 남동구 중국관,3.5
한식_면류,큰집손칼국수,잔치국수,3500원,032-469-4125,인천광역시 남동구 호구포로790번길 21-5(구월동),인천광역시 남동구 호구포로790번길 21-5(구월동),인천광역시 남동구 큰집손칼국수,3.6
세탁업,네오클리닝센타,양복1벌,10000원,032-766-0030,인천광역시 동구 송현로 19번길14(송현동),인천광역시 동구 송현로 19번길14(송현동),인천광역시 동구 네오클리닝센타,0.0
한식_일반,청해물텀벙,아구해물뚝배기,8000원,032-761-4140,인천광역시 동구 수문통로5-1(화평동),인천광역시 동구 수문통로5-1(화평동),인천광역시 동구 청해물텀벙,4.0
한식_육류,횡성생고기,대패삼겹살,10900원,032-766-2886,인천광역시 동구 송화로 20번길 11(화평동),인천광역시 동구 송화로 20번길 11(화평동),인천광역시 동구 횡성생고기,3.0
한식_일반,새벽숯불가든,육개장,9000원,032-766-0690,인천광역시 중구 제물량로166번길 23(신포동),인천광역시 중구 제물량로166번길 23(신포동),인천광역시 중구 새벽숯불가든,5.0
한식_육류,장터삼겹살(신흥),삼겹살(200g),9000원,032-887-5355,인천광역시 중구 서해대로454번길 11-3(선화동),인천광역시 중구 서해대로454번길 11-3(선화동),인천광역시 중구 장터삼겹살(신흥),별점 없음
한식_면류,홍두깨손칼국수,흑미칼만두,8000원,032-505-8664,인천광역시 부평구 부흥로 334번길 65(부평동),인천광역시 부평구 부흥로 334번길 65(부평동),인천광역시 부평구 홍두깨손칼국수,3.5
이미용업,부개이용원,성인커트,10000원,010-5318-7083,인천광역시 부평구 수변로9번길5(부개동),인천광역시 부평구 수변로9번길5(부개동),인천광역시 부평구 부개이용원,0.0
한식_일반,부부밥상,간장게장+고등어구이,7000원,032-513-1694,인천광역시 부평구 경원대로 1363번길 5(부평동),인천광역시 부평구 경원대로 1363번길 5(부평동),인천광역시 부평구 부부밥상,4.0
한식_일반,큰손의정부 부대찌개,부대찌개,8000원,032-467-6701,인천광역시 남동구 장승로 5(만수동),인천광역시 남동구 장승로 5(만수동),인천광역시 남동구 큰손의정부 부대찌개,0.0
한식_일반,맛사랑,돈까스,6500원,032-872-5181,인천광역시 미추홀구 인하로77번길 6-26(용현동),인천광역시 미추홀구 인하로77번길 6-26(용현동),인천광역시 미추홀구 맛사랑,4.4
한식_일반,내고향만두,고기만두,5000원,032-471-8334,인천광역시 남동구 인주대로888번길 27(만수동),인천광역시 남동구 인주대로888번길 27(만수동),인천광역시 남동구 내고향만두,3.5
한식_일반,부산식당,모듬회(중),30000원,032-882-8991,인천광역시 중구 연안부두로 16 2층(항동7가),인천광역시 중구 연안부두로 16 2층(항동7가),인천광역시 중구 부산식당,0.0
한식_일반,현대식당,김치찌개,4000원,032-888-6300,인천광역시 미추홀구 미추로 36번길19-1(숭의동),인천광역시 미추홀구 미추로 36번길19-1(숭의동),인천광역시 미추홀구 현대식당,4.8
한식_육류,소와돼지방,생삼겹(200g),9000원,032-421-1243,인천광역시 미추홀구 인하로 293(주안동),인천광역시 미추홀구 인하로 293(주안동),인천광역시 미추홀구 소와돼지방,0.0
이미용업,아빠이발관,커트,5000원,010-8739-3042,인천광역시 미추홀구 인주대로366번길 17(주안동),인천광역시 미추홀구 인주대로366번길 17(주안동),인천광역시 미추홀구 아빠이발관,0.0
한식_일반,신포횟집,대구탕,8000원,032-867-4286,인천광역시 미추홀구 제일로 27번길 3-1(도화동),인천광역시 미추홀구 제일로 27번길 3-1(도화동),인천광역시 미추홀구 신포횟집,0.0
한식_육류,새우물식당,삼겹살(100g),6000원,032-886-5239,인천광역시 미추홀구 미추로 19번길14(숭의동),인천광역시 미추홀구 미추로 19번길14(숭의동),인천광역시 미추홀구 새우물식당,5.0
중식,태화루,자장면,5000원,032-442-4560,인천광역시 미추홀구 주안중로 26-1(주안동),인천광역시 미추홀구 주안중로 26-1(주안동),인천광역시 미추홀구 태화루,4.8
한식_면류,쑥골국수집,왕돈까스,6000원,032-864-0302,인천광역시 미추홀구 주안로 5(주안동),인천광역시 미추홀구 주안로 5(주안동),인천광역시 미추홀구 쑥골국수집,4.5
한식_일반,삼삼오오,부대찌개,6500원,032-872-6651,인천광역시 미추홀구 인하로 83(용현동),인천광역시 미추홀구 인하로 83(용현동),인천광역시 미추홀구 삼삼오오,4.0
한식_육류,숯불구이 먹방(주안점),생삼겹(150g),7500원,032-422-5339,인천광역시 미추홀구 석바위로 77-6(주안동),인천광역시 미추홀구 석바위로 77-6(주안동),인천광역시 미추홀구 숯불구이 먹방(주안점),3.5
이미용업,반도미용실,커트,5000원,032-867-9690,인천광역시 미추홀구 수봉로27번길 4(숭의동),인천광역시 미추홀구 수봉로27번길 4(숭의동),인천광역시 미추홀구 반도미용실,4.0
중식,청해루,짬뽕,6000원,032-876-4007,인천광역시 미추홀구 학익소로61번길 21-19(학익동),인천광역시 미추홀구 학익소로61번길 21-19(학익동),인천광역시 미추홀구 청해루,0.0
한식_육류,백년갈비,설렁탕,8000원,032-884-1362,인천광역시 미추홀구 석정로 236-1(도화동),인천광역시 미추홀구 석정로 236-1(도화동),인천광역시 미추홀구 백년갈비,5.0
중식,도원,자장면,5000원,032-887-9664,인천광역시 미추홀구 토금중로40번길 26(용현동),인천광역시 미추홀구 토금중로40번길 26(용현동),인천광역시 미추홀구 도원,별점 없음
