업종,업소명,주요품목,가격,연락처,주소,keyword,평점
중식,서원짬뽕,짜장면,5000원,042-822-2693,대전광역시 유성구 농대로15번길 15(궁동),대전광역시 유성구 서원짬뽕,3.7
한식_면류,공주칼국수,칼국수,6500원,042-861-7646,대전광역시 유성구 전민로6번길 67(전민동),대전광역시 유성구 공주칼국수,4.6
한식_육류,고깃수라,삼겹살(180g),13000원,042-825-9246,"대전광역시 유성구 반석동로 52-9, 1층(반석동)",대전광역시 유성구 고깃수라,3.5
한식_일반,샘물,갈치조림,9000원,042-634-4450,대전광역시 대덕구 계족산로5번길 102(법동),대전광역시 대덕구 샘물,0
한식_일반,옛날아우내순대 유성점,순대국밥,8000원,042-825-9866,"대전광역시 유성구 계룡로132번길 10, 107호 (봉명동)",대전광역시 유성구 옛날아우내순대 유성점,3.8
이미용업,샤론미용실,컷트(남),6000원,042-272-4421,대전광역시 중구 대종로 182 (석교동),대전광역시 중구 샤론미용실,0
기타양식,씬스1896하우스카페,아메리카노(HOT),1000원,042-535-1896,"대전광역시 중구 동서대로1303번길 29, 101호(오류동, 1층)",대전광역시 중구 씬스1896하우스카페,별점 없음
기타양식,야커피,아메리카노(HOT),1000원,042-527-9627,"대전광역시 중구 동서대로1303번길 17, 1층(오류동)",대전광역시 중구 야커피,0
중식,취팔선,자장면,5000원,042-252-1003,"대전광역시 중구 계룡로920번안길 7, 1층 101호(대사동)",대전광역시 중구 취팔선,4
한식_일반,정동올갱이,올갱이해장국,9000원,042-622-8229,"대전광역시 중구 대종로 204, 1층(석교동)",대전광역시 중구 정동올갱이,0
한식_일반,닭이랑오리랑엄마네,삼계탕,10000원,-,"대전광역시 중구 대종로 182, 1층(석교동)",대전광역시 중구 닭이랑오리랑엄마네,0
한식_일반,0시50분,우거지해장국(선지),6000원,042-524-5816,"대전광역시 중구 대종로 504, 1층(은행동)",대전광역시 중구 0시50분,5
한식_일반,김연수소국밥막국수,소머리국밥,10000원,042-634-3325,대전광역시 대덕구 대전로1370번길 13-14(읍내동),대전광역시 대덕구 김연수소국밥막국수,5
한식_일반,순이네분식카페,김밥,2500원,042-627-2778,대전광역시 대덕구 대오길 29(대화동),대전광역시 대덕구 순이네분식카페,4.4
한식_일반,전주식당,버섯찌개,6000원,042-622-1255,대전광역시 대덕구 계족산로 5번길 107(법동),대전광역시 대덕구 전주식당,5
한식_일반,봉창이소머리국밥,소머리국밥,8000원,042-825-3309,대전광역시 유성구 대전광역시 유성구 유성대로752번길 38(장대동),대전광역시 유성구 봉창이소머리국밥,0
한식_일반,맛보리감자탕,보리밥,7000원,042-623-4286,대전광역시 대덕구 계족산로5번길 106(법동),대전광역시 대덕구 맛보리감자탕,0
한식_일반,평양숨두부,숨두부백반,7000원,042-284-4141,대전광역시 동구 대전로 381(대성동),대전광역시 동구 평양숨두부,3.3
한식_육류,신성숯불생고기,청국장,7000원,010-6336-7114,대전광역시 유성구 노은동로87번길 90(노은동),대전광역시 유성구 신성숯불생고기,5
한식_일반,구마적김밥,김밥,1800원,042-826-1255,대전광역시 유성구 죽동로298번길 60(죽동),대전광역시 유성구 구마적김밥,4.9
한식_일반,통나무식당,칼국수,5000원,042-823-1350,대전광역시 유성구 유성대로758번길 27(장대동),대전광역시 유성구 통나무식당,4.5
한식_일반,전통순대국밥,순대국밥,8000원,042-861-9811,대전광역시 유성구 대학로 187(어은동),대전광역시 유성구 전통순대국밥,4.4
한식_일반,안골칼국수,얼큰칼국수,7000원,042-862-5565,대전광역시 유성구 어은로58번길 16 1층(어은동),대전광역시 유성구 안골칼국수,4.4
세탁업,세탁마을,수선료,5000원,042-477-1559,대전광역시 유성구 노은동로75번길 125(노은동),대전광역시 유성구 세탁마을,3.7
이미용업,향기헤어샵,남성컷,10000원,042-822-2300,"대전광역시 유성구 반석서로109, 205호(반석동)",대전광역시 유성구 향기헤어샵,0
세탁업,이수세탁소,수선료,5000원,042-822-3577,대전광역시 유성구 문화원로19번길 28(장대동),대전광역시 유성구 이수세탁소,3
한식_육류,돈이빵빵,삼겹살,14000원,042-823-9333,"대전광역시 유성구 학하서로 14, 1층 (계산동)",대전광역시 유성구 돈이빵빵,3.7
한식_면류,국수집,잔치국수,2900원,042-535-5277,"대전광역시 중구 동서대로 1208-7, 1층(태평동)",대전광역시 중구 국수집,3.7
한식_일반,시장이레손만두,만두,5000원,042-933-0994,"대전광역시 유성구 구즉로 74-15, 나-108호(송강동)",대전광역시 유성구 시장이레손만두,0
한식_일반,길선인,전통순두부찌개,6000원,042-823-8867,대전광역시 유성구 궁동로18번길 89(궁동),대전광역시 유성구 길선인,4.4
한식_면류,대전칼국수,김치칼국수,6000원,042-224-0501,"대전광역시 중구 선화로 110, 1층(선화동)",대전광역시 중구 대전칼국수,5
한식_일반,용두골,된장찌개백반,6000원,042-226-7645,대전광역시 중구 동서대로1322번길 19-9(용두동),대전광역시 중구 용두골,0
기타양식,소담커피,커피,2500원,-,"대전광역시 중구 선화로22번길 25, 상가동 101호 (용두동,미르마을아파트)",대전광역시 중구 소담커피,0
이미용업,렛미인머리하는날,컷트,5000원,-,"대전광역시 중구 보문로20번길 34, 1층(문창동)",대전광역시 중구 렛미인머리하는날,0
중식,라이라이,자장면,3000원,042-282-9985,"대전광역시 중구 대전천서로 249-1, 1층(문창동)",대전광역시 중구 라이라이,5
기타양식,커피드림,커피,1500원,070-7526-8131,"대전광역시 중구 동서대로1304번길 56, 1층 101호 (오류동)",대전광역시 중구 커피드림,5
이미용업,미미모헤어,컷트,10000원,042-485-5423,"대전광역시 중구 대종로587번길 43, 1층(선화동)",대전광역시 중구 미미모헤어,별점 없음
세탁업,문화세탁소,세탁료(양복상하),6000원,042-221-0904,대전광역시 중구 보문로337번길 22(선화동),대전광역시 중구 문화세탁소,0
기타양식,카페드홍,커피,2500원,010-2774-7083,"대전광역시 중구 보문로335번길 14-2(선화동, 1층)",대전광역시 중구 카페드홍,0
한식_일반,엄니곰탕,곰탕,6000원,042-222-6366,"대전광역시 중구 충무로 102-1, 1층(대사동)",대전광역시 중구 엄니곰탕,4.8
한식_일반,장안식당,백반,6000원,042-585-5955,"대전광역시 중구 계백로1566번길 27, 1층(유천동)",대전광역시 중구 장안식당,0
이미용업,올리브헤어,컷트,10000원,042-535-2008,"대전광역시 중구 유천로132번길 29, 1층 103호 (태평동)",대전광역시 중구 올리브헤어,0
기타양식,샘물건강프라자(SM커피&전,커피,2500원,042-536-3106,"대전광역시 중구 수침로55번길 60(태평동, 1층)",대전광역시 중구 샘물건강프라자(SM커피&전,별점 없음
한식_면류,소문난칼국수,칼제비국수,5000원,042-531-3966,대전광역시 중구 수침로55번길 47(태평동),대전광역시 중구 소문난칼국수,5
한식_육류,강변산닭,삼계탕,10000원,042-581-8511,"대전광역시 중구 보문로260번길 8, 1층(대흥동)",대전광역시 중구 강변산닭,4.7
이미용업,진여헤어,컷트,8000원,042-253-7570,대전광역시 중구 사득로 6-1(부사동),대전광역시 중구 진여헤어,5
기타서비스업,당구사랑,"당구장이용료(시간당1,000)",6000원,070-7722-4530,"대전광역시 중구 충무로 1, 2층(대흥동)",대전광역시 중구 당구사랑,5
한식_육류,한우미강정육식당,삼겹살,10000원,042-242-6788,대전광역시 중구 보문로 183-1(대흥동),대전광역시 중구 한우미강정육식당,별점 없음
이미용업,뮬랑샵,컷트(남),8000원,042-585-2828,"대전광역시 중구 산성로 125, 1층 102호(문화동)",대전광역시 중구 뮬랑샵,별점 없음
한식_면류,공주얼큰이칼국수,"칼국수(얼큰,하얀)",7000원,042-226-2369,"대전광역시 중구 보문산로171번길 40-4, 1층 (문화동)",대전광역시 중구 공주얼큰이칼국수,5
이미용업,문화남성컷트,컷트,8000원,042-585-5884,"대전광역시 중구 문화로 167, 1층(문화동)",대전광역시 중구 문화남성컷트,0
이미용업,윤헤어코디,커트,10000원,010-5041-8026,"대전광역시 서구 도솔로 385-19, 1층",대전광역시 서구 윤헤어코디,0
한식_일반,홈런김밥,김치찌개,7000원,042-252-8532,대전광역시 중구 충무로 100(대사동),대전광역시 중구 홈런김밥,0
중식,동춘원,자장면,5000원,042-535-1541,대전광역시 중구 충무로 104(대사동),대전광역시 중구 동춘원,4.1
한식_육류,삼용이네삼겹살,삼겹살(200g),11111원,042-624-2033,대전광역시 동구 계족로438번길 6(용전동),대전광역시 동구 삼용이네삼겹살,5
한식_육류,별난왕갈비,돼지갈비(200g),8000원,042-284-0555,대전광역시 동구 용운로 67(용운동),대전광역시 동구 별난왕갈비,0
한식_면류,주연칼국수,바지락칼국수,5500원,042-626-3838,대전광역시 동구 흥룡로 29-1(가양동),대전광역시 동구 주연칼국수,5
목욕업,수정목욕탕,목욕료,5000원,042-631-3660,대전광역시 동구 비래서로62번길 103(가양동),대전광역시 동구 수정목욕탕,0
한식_일반,복돼지구이,삼겹살,12000원,042-522-3392,대전광역시 서구 도마로5번길 4,대전광역시 서구 복돼지구이,별점 없음
중식,대명반점,짜장면,4000원,042-582-0317,대전광역시 서구 정림로24번길 40,대전광역시 서구 대명반점,3.6
이미용업,모드니에미용실,커트,10000원,042-486-2580,대전광역시 서구 탄방로7번길 76,대전광역시 서구 모드니에미용실,0
한식_육류,이모네닭도리탕과삼겹살,삼겹살,13000원,042-536-8880,대전광역시 서구 동서대로 993-1,대전광역시 서구 이모네닭도리탕과삼겹살,5
한식_일반,흑석순대,순대국밥,9000원,010-8285-3758,대전광역시 서구 장안로8,대전광역시 서구 흑석순대,2.3
이미용업,최미용실,커트,10000원,042-478-4152,대전광역시 서구 월평로 11,대전광역시 서구 최미용실,0
한식_육류,먹고을,삼겹살,13000원,010-2077-9533,"대전광역시 서구 만년로22번길 35, 1층 101,102호",대전광역시 서구 먹고을,3
한식_육류,푸줏간,삼겹살,12000원,042-543-8594,"대전광역시 서구 관저동로99번길 23, 1층",대전광역시 서구 푸줏간,5
이미용업,플로라헤어모드,커트,10000원,010-2397-5899,"대전광역시 서구 가수원로 72, 107호",대전광역시 서구 플로라헤어모드,0
이미용업,녹원이용원,커트,13000원,010-7347-2406,"대전광역시 서구 둔산남로 30, 206호",대전광역시 서구 녹원이용원,5
한식_일반,뜰건너,김치찌개,6000원,042-587-3337,대전광역시 서구 복수동로52번길 5,대전광역시 서구 뜰건너,4.1
한식_일반,우리식당,삼계탕,13000원,010-4244-1707,"대전광역시 서구 흑석4길 14, 1층",대전광역시 서구 우리식당,5
이미용업,산호헤어샵,커트,12000원,010-3406-5277,"대전광역시 서구 계룡로571번길 65, 204호",대전광역시 서구 산호헤어샵,0
한식_육류,고구려,삼겹살,12000원,042-536-9286,"대전광역시 서구 도솔로 143, 1층",대전광역시 서구 고구려,0
한식_육류,갈비가,돼지갈비,10000원,042-586-5865,"대전광역시 서구 정림로77번길 7, 1층",대전광역시 서구 갈비가,0
중식,황궁쟁반짜장,짜장면,5000원,042-534-9225,"대전광역시 서구 도산로 394, 1층",대전광역시 서구 황궁쟁반짜장,3.6
이미용업,이수자헤어갤러리,커트,12000원,010-2464-0278,"대전광역시 서구 둔산로 214(둔산동,2층)",대전광역시 서구 이수자헤어갤러리,0
한식_일반,남한산성,삼계탕,13000원,042-485-0973,"대전광역시 서구 대덕대로234번길 45, 2층",대전광역시 서구 남한산성,3
한식_일반,부부식당,찌개,6000원,010-5400-4328,대전광역시 서구 배재로91번길 38-3,대전광역시 서구 부부식당,0
중식,진달래반점,짜장면,5000원,042-485-9384,대전광역시 서구 월평동로 45(진달래상가 B-4),대전광역시 서구 진달래반점,5
한식_육류,막창집(ㅁㅊ집),삼겹살,10000원,010-2549-2918,"대전광역시 서구 관저남로12번길 7-13, 1층 103호",대전광역시 서구 막창집(ㅁㅊ집),별점 없음
한식_육류,봉순이네,삼겹살,12000원,042-489-6786,"대전광역시 서구 남선로59번길 18, 1층 101호",대전광역시 서구 봉순이네,2.8
한식_면류,한울해물칼국수,칼국수,6000원,042-526-8146,"대전광역시 서구 도마2길 29, A-101(대림연립)",대전광역시 서구 한울해물칼국수,4.7
이미용업,온누리미용실,커트,10000원,010-4462-5750,"대전광역시 서구 가수원로 6, 9동 1층 106호",대전광역시 서구 온누리미용실,0
이미용업,민현주헤어샵,커트,10000원,010-9262-7179,대전광역시 서구 남선로59번길 16,대전광역시 서구 민현주헤어샵,0
한식_일반,서울도가니,삼계탕,12000원,010-6389-5124,"대전광역시 서구 관저동로 162, 204호",대전광역시 서구 서울도가니,0
한식_일반,나영왕돈까스전문점,돈까스,5500원,042-524-9959,대전광역시 서구 배재로91번길 57,대전광역시 서구 나영왕돈까스전문점,4.1
세탁업,둥지세탁소,양복1벌,6000원,010-4420-4206,대전광역시 서구 청사로 254 (상가 204호),대전광역시 서구 둥지세탁소,1
한식_면류,소문난칼국수,칼국수,7000원,042-533-0888,"대전광역시 서구 도마5길 85, 1층",대전광역시 서구 소문난칼국수,4.4
한식_일반,굿뜨래쌈밥,녹두삼계탕,13000원,042-525-3539,대전광역시 서구 변동중로 13,대전광역시 서구 굿뜨래쌈밥,4.5
이미용업,청사이용원,커트,10000원,010-5344-4577,"대전광역시 서구 청사로 189, 후생동 지하층",대전광역시 서구 청사이용원,0
이미용업,모드에미용실,커트,9000원,042-531-4401,대전광역시 서구 용문로 91,대전광역시 서구 모드에미용실,0
이미용업,나머리헤어,커트,10000원,010-2508-6523,"대전광역시 서구 도산로 290, 1층",대전광역시 서구 나머리헤어,0
이미용업,목련이용원,커트,10000원,042-487-3871,"대전광역시 서구 둔산남로 127, 지하1호",대전광역시 서구 목련이용원,0
이미용업,대한이용복지이용원,커트,5000원,010-4089-2804,"대전광역시 서구 도산로 108, 4층일부",대전광역시 서구 대한이용복지이용원,별점 없음
이미용업,라인헤어,커트,12000원,042-546-3305,"대전광역시 서구 도안남로 145, 105",대전광역시 서구 라인헤어,0
이미용업,보보헤어샵,커트,10000원,010-9551-2064,"대전광역시 서구 도솔로 87, 1층",대전광역시 서구 보보헤어샵,0
이미용업,박영순미용실,커트,9000원,010-7386-3356,대전광역시 서구 계룡로367번길 43,대전광역시 서구 박영순미용실,0
한식_육류,갈비쿡,돼지갈비,10000원,042-489-5255,"대전광역시 서구 둔산로51번길 80, 1층 102호",대전광역시 서구 갈비쿡,4.5
기타양식,장옥진의 커피볶는집,커피,2000원,010-6478-8218,"대전광역시 서구 둔산중로72번길 32, 107호",대전광역시 서구 장옥진의 커피볶는집,4.7
이미용업,에스헤어폴더,커트,10000원,010-8786-3346,"대전광역시 서구 도안북로 136, 301-102",대전광역시 서구 에스헤어폴더,5
기타양식,레어(RARE),아메리카노,2200원,-,"대전광역시 중구 계백로1566번길 34,1층(유천동)",대전광역시 중구 레어(RARE),4.3
한식_일반,고향소머리국밥,갈비탕,10000원,042-536-2334,"대전광역시 서구 도산로 145, 다동 1층",대전광역시 서구 고향소머리국밥,5
이미용업,이쁜내미용실,커트,7000원,010-8818-8785,대전광역시 서구 변동중로78번길 19,대전광역시 서구 이쁜내미용실,0
한식_육류,구름뜰,삼겹살,13000원,042-546-4657,"대전광역시 서구 관저북로51번길 15-1, 1층",대전광역시 서구 구름뜰,4.7
한식_육류,자매삼겹살,삼겹살,12000원,042-583-1623,"대전광역시 서구 정림동로5번길 40, 1층",대전광역시 서구 자매삼겹살,0
이미용업,누리이용원,커트,13000원,010-4880-2706,"대전광역시 서구 청사로 70, 206(누리상가)",대전광역시 서구 누리이용원,5
이미용업,리츠칼,커트,12000원,010-8439-1138,대전광역시 서구 갈마중로8번길 10,대전광역시 서구 리츠칼,0
세탁업,행운세탁소,양복1벌,7000원,010-8383-3054,대전광역시 서구 신갈마로211번길 49,대전광역시 서구 행운세탁소,0
한식_육류,허갈비,삼겹살,13000원,010-3112-5926,"대전광역시 서구 괴정로 25-1, 1층",대전광역시 서구 허갈비,5
기타양식,커피볶는꽁치,아메리카노,2000원,042-320-3335,"대전광역시 중구 송리로38번길 9, 1층(문화동)",대전광역시 중구 커피볶는꽁치,0
한식_면류,신칼국수,칼국수(매운/맑은),6000원,042-254-9404,대전광역시 중구 목중로 61(중촌동),대전광역시 중구 신칼국수,4
이미용업,권양희헤어,컷트(남),7000원,042-221-7304,대전광역시 중구 목중로26번길 54(중촌동),대전광역시 중구 권양희헤어,3.7
한식_일반,두리두리식당,비빔밥,6500원,042-622-5863,대전광역시 대덕구 한남로 65(오정동),대전광역시 대덕구 두리두리식당,0
한식_육류,더더더대패삼겹살,대패삼겹살,4500원,042-586-3573,"대전광역시 중구 보문산로171번길 27, 1층(문화동)",대전광역시 중구 더더더대패삼겹살,5
한식_일반,팔도육개장,한우곰탕,7000원,042-222-0909,"대전광역시 중구 중앙로137번길 39, 1층(선화동)",대전광역시 중구 팔도육개장,5
한식_면류,뚝방국수,칼국수,5000원,042-525-6303,대전광역시 중구 유등천동로 576(태평동),대전광역시 중구 뚝방국수,0
한식_면류,신도칼국수 대사점,칼국수(사골),7000원,042-226-5431,"대전광역시 중구 충무로 123, 1층",대전광역시 중구 신도칼국수 대사점,4
이미용업,지선미용실,커트 여,5000원,010-4455-5247,대전광역시 동구 솔랑시울길 87(소제동),대전광역시 동구 지선미용실,0
중식,홍가짜장,짜장면,3500원,042-365-3323,대전광역시 동구 동대전로 279(가양동),대전광역시 동구 홍가짜장,3
한식_육류,신바람숯불갈비,돼지갈비(200g),9600원,042-626-5679,대전광역시 동구 매봉로 7(가양동),대전광역시 동구 신바람숯불갈비,4.3
한식_육류,양반고을,돼지갈비(200g),12000원,042-625-2181,대전광역시 동구 우암로 278(가양동),대전광역시 동구 양반고을,2.9
기타서비스업,중경손세차장,경차,15000원,042-538-8834,대전광역시 서구 갈마로 121,대전광역시 서구 중경손세차장,3
이미용업,대우이용원,커트,10000원,042-522-4782,대전광역시 서구 변동로 73,대전광역시 서구 대우이용원,0
한식_일반,맛집,된장찌개,7000원,042-522-4337,대전광역시 서구 변동로 45,대전광역시 서구 맛집,4
이미용업,미성헤어라인,컷(기본),8000원,042-623-8061,대전광역시 대덕구 송촌북로19번길 5(송촌동),대전광역시 대덕구 미성헤어라인,0
이미용업,거울이용원,이용료,10000원,042-535-7852,대전광역시 서구 도솔로 249,대전광역시 서구 거울이용원,0
한식_일반,순대군,순대국밥,7000원,042-586-0110,대전광역시 서구 유등로65번길 26,대전광역시 서구 순대군,4.1
한식_일반,내집식당,올갱이국(자연산),9000원,042-223-5083,대전광역시 중구 대흥로121번길 42(대흥동),대전광역시 중구 내집식당,3.8
한식_면류,정미소문화국수,불쌈국수,6000원,042-585-1566,대전광역시 중구 보문산로177번안길 44(문화2동),대전광역시 중구 정미소문화국수,별점 없음
한식_일반,종가수제비,수제비,6000원,042-584-4888,대전광역시 중구 당디로6번길 104(문화동),대전광역시 중구 종가수제비,0
