업종,업소명,주요품목,가격,연락처,주소,"주소_구,군",keyword,평점
한식_분식,숙이네분식,김밥,2500원,052-245-0884,울산광역시 울주군 범서읍 천상중앙길 59,울산광역시 울주군 범서읍 천상중앙길 59,울산광역시 울주군 숙이네분식,0.0
한식_면류,먹자 칼국수,칼국수,6000원,052-261-1253,울산광역시 남구 산업로339번길 23,울산광역시 남구 산업로339번길 23,울산광역시 남구 먹자 칼국수,0.0
한식_일반,소반,정식,7000원,052-267-0336,울산광역시 남구 문수로369번길 8-23,울산광역시 남구 문수로369번길 8-23,울산광역시 남구 소반,3.5
한식_일반,만추,낙지볶음,9000원,052-260-0123,울산광역시 남구 돋질로 239번길 4-4,울산광역시 남구 돋질로 239번길 4-4,울산광역시 남구 만추,0.0
중식,황금정,자장면,4500원,052-277-6486,울산광역시 남구 대학로43번길 14,울산광역시 남구 대학로43번길 14,울산광역시 남구 황금정,5.0
한식_육류,예원숯불갈비,돼지갈비(180g),9500원,052-295-4944,울산광역시 북구 당수골15길 5-1,울산광역시 북구 당수골15길 5-1,울산광역시 북구 예원숯불갈비,5.0
한식_일반,이모네포차,차돌육개장,8000원,052-287-1182,울산광역시 북구 화봉로 54,울산광역시 북구 화봉로 54,울산광역시 북구 이모네포차,5.0
한식_일반,맛보고삼계탕,삼계탕,13000원,052-295-7958,울산광역시 북구 당수골4길 11,울산광역시 북구 당수골4길 11,울산광역시 북구 맛보고삼계탕,0.0
한식_면류,장현돼지국밥,돼지국밥,8000원,052-293-0392,울산광역시 중구 종가로 745 (장현동),울산광역시 중구 종가로 745 (장현동),울산광역시 중구 장현돼지국밥,0.0
한식_일반,다원식당,비빔밥,6000원,052-211-4068,울산광역시 중구 옥교6길 19 (옥교동),울산광역시 중구 옥교6길 19 (옥교동),울산광역시 중구 다원식당,0.0
이미용업,챠밍미용실,컷트,5000원,052-248-9798,울산광역시 중구 명륜로 26 (우정동),울산광역시 중구 명륜로 26 (우정동),울산광역시 중구 챠밍미용실,0.0
중식,산동만두,자장면,4000원,052-226-7459,울산광역시 남구 월평로37번길 8,울산광역시 남구 월평로37번길 8,울산광역시 남구 산동만두,4.0
한식_육류,소대장,갈비탕,10000원,052-256-1660,울산광역시 남구 문수로352번길 16,울산광역시 남구 문수로352번길 16,울산광역시 남구 소대장,3.9
기타양식,퍼즈 10,아메리카노,1100원,052-273-6392,"울산광역시 남구 수암로190번길 18, 1층 102호","울산광역시 남구 수암로190번길 18, 1층 102호",울산광역시 남구 퍼즈 10,5.0
한식_육류,백년동안,설렁탕,9000원,052-289-5856,울산광역시 북구 새장터6길 1(염포동),울산광역시 북구 새장터6길 1(염포동),울산광역시 북구 백년동안,4.7
한식_육류,태화식육식당,돼지갈비,8000원,052-244-7986,울산광역시 중구 중앙시장길 21-3(성남동),울산광역시 중구 중앙시장길 21-3(성남동),울산광역시 중구 태화식육식당,5.0
한식_일반,민아횟집,회덮밥,15000원,052-239-1826,울산광역시 울주군 서생면 간절곶1길 29,울산광역시 울주군 서생면 간절곶1길 29,울산광역시 울주군 민아횟집,0.0
한식_육류,꼬들목살전문점,목살구이,8000원,052-262-8484,울산광역시 울주군 언양읍 읍성로 70,울산광역시 울주군 언양읍 읍성로 70,울산광역시 울주군 꼬들목살전문점,0.0
중식,짬뽕의 명가,짜장면,6000원,052-264-9669,울산광역시 울주군 상북면 도동신리로 4,울산광역시 울주군 상북면 도동신리로 4,울산광역시 울주군 짬뽕의 명가,0.0
한식_분식,우와칼국수,손칼국수,6000원,052-246-3478,울산광역시 울주군 범서읍 점촌5길 15,울산광역시 울주군 범서읍 점촌5길 15,울산광역시 울주군 우와칼국수,0.0
한식_면류,종가자매국수,칼국수,6000원,052-287-8996,울산광역시 북구 화봉로98(화봉동),울산광역시 북구 화봉로98(화봉동),울산광역시 북구 종가자매국수,0.0
한식_일반,삼미식당,알탕,9000원,052-287-4913,울산광역시 북구 염포로 553(양정동),울산광역시 북구 염포로 553(양정동),울산광역시 북구 삼미식당,0.0
한식_육류,GOGO!!대패삼겹,고고대패(칠레산),4500원,052-236-5515,울산광역시 동구 진성14길 77(전하동),울산광역시 동구 진성14길 77(전하동),울산광역시 동구 GOGO!!대패삼겹,0.0
이미용업,컷트박스,컷트,7000원,052-235-0421,울산광역시 동구 방어진순환도로 701(일산동),울산광역시 동구 방어진순환도로 701(일산동),울산광역시 동구 컷트박스,0.0
한식_일반,강원식당,정식,7000원,052-236-9403,울산광역시 동구 내진4길 12(방어동),울산광역시 동구 내진4길 12(방어동),울산광역시 동구 강원식당,0.0
한식_일반,육천한식뷔페,한식뷔페,7500원,052-252-3915,울산광역시 동구 진성6길 39(전하동),울산광역시 동구 진성6길 39(전하동),울산광역시 동구 육천한식뷔페,0.0
기타양식,서빈,아메리카노,1200원,052-237-4990,울산광역시 울주군 온산읍 용방소길 11,울산광역시 울주군 온산읍 용방소길 11,울산광역시 울주군 서빈,5.0
한식_일반,밥이랑고기랑,정식,8000원,052-239-1001,울산광역시 울주군 온양읍 남창3길 8,울산광역시 울주군 온양읍 남창3길 8,울산광역시 울주군 밥이랑고기랑,0.0
이미용업,예쁜머리헤어쇼핑,커트,10000원,052-239-4909,울산광역시 울주군 온양읍 남창1길 46,울산광역시 울주군 온양읍 남창1길 46,울산광역시 울주군 예쁜머리헤어쇼핑,0.0
이미용업,정헤어샵,컷트,10000원,052-243-7950,울산광역시 중구 당산4길 31(우정동),울산광역시 중구 당산4길 31(우정동),울산광역시 중구 정헤어샵,0.0
한식_일반,안창깍두기,돈까스,5900원,052-225-2724,울산광역시 남구 대학로84번길 5-9,울산광역시 남구 대학로84번길 5-9,울산광역시 남구 안창깍두기,3.2
한식_일반,덤,냉칼국수,7000원,052-247-1217,울산광역시 남구 대학로84번길 5-5,울산광역시 남구 대학로84번길 5-5,울산광역시 남구 덤,3.8
한식_일반,소문난 고추장불고기 국밥,"돼지,섞어,순대,선지국밥",7000원,052-273-6661,울산광역시 남구 월평로37번길 3,울산광역시 남구 월평로37번길 3,울산광역시 남구 소문난 고추장불고기 국밥,3.8
한식_일반,장수보리밥뷔페,보리밥,5000원,052-252-7269,울산광역시 동구 화진길 9(방어동),울산광역시 동구 화진길 9(방어동),울산광역시 동구 장수보리밥뷔페,1.0
한식_일반,본가,김치찌개,7000원,052-288-1130,울산광역시 북구 양정6길 38-1(양정동),울산광역시 북구 양정6길 38-1(양정동),울산광역시 북구 본가,3.8
한식_육류,황돈숯불생고기,삼겹살(130g),10000원,052-288-7332,울산광역시 북구 양정6길 33-1(양정동),울산광역시 북구 양정6길 33-1(양정동),울산광역시 북구 황돈숯불생고기,3.8
이미용업,포맨,커트,9000원,052-201-0410,"울산광역시 동구 옥류로 83, 101호","울산광역시 동구 옥류로 83, 101호",울산광역시 동구 포맨,5.0
한식_일반,장터수육,국밥,6000원,052-232-0541,울산광역시 동구 명덕5길 15(서부동),울산광역시 동구 명덕5길 15(서부동),울산광역시 동구 장터수육,5.0
중식,북경,짜장면,2000원,052-252-1155,울산광역시 동구 번덕로 31(화정동),울산광역시 동구 번덕로 31(화정동),울산광역시 동구 북경,5.0
한식_육류,마늘보쌈,마늘보쌈정식,11000원,052-289-9252,울산광역시 북구 명촌8길19(명촌동),울산광역시 북구 명촌8길19(명촌동),울산광역시 북구 마늘보쌈,5.0
한식_일반,일향,정식,8000원,052-252-9748,"울산광역시 동구 남목18길 8, 1층 170호","울산광역시 동구 남목18길 8, 1층 170호",울산광역시 동구 일향,5.0
이미용업,미스터투남성커트,커트,10000원,052-287-3672,울산광역시 북구 상방로85(연암동),울산광역시 북구 상방로85(연암동),울산광역시 북구 미스터투남성커트,5.0
세탁업,상떼빌세탁소,신사복상의,3000원,052-289-0888,울산광역시 북구 염포로 669 성원상떼빌상가 109호,울산광역시 북구 염포로 669 성원상떼빌상가 109호,울산광역시 북구 상떼빌세탁소,5.0
한식_일반,솟대,순두부찌개,8000원,-,울산광역시 남구 대학로47번길 10,울산광역시 남구 대학로47번길 10,울산광역시 남구 솟대,5.0
한식_일반,안골목,보리밥뷔페,7000원,052-234-3107,울산광역시 동구 남목14길 32(동부동),울산광역시 동구 남목14길 32(동부동),울산광역시 동구 안골목,5.0
한식_육류,흑마늘보쌈,삼색흑마늘보쌈국밥세트,12000원,052-288-9955,울산광역시 북구 화봉로 95-1(화봉동),울산광역시 북구 화봉로 95-1(화봉동),울산광역시 북구 흑마늘보쌈,5.0
중식,짜장나라,짜장면,5000원,052-227-4001,울산광역시 울주군 온양읍 대운길 16,울산광역시 울주군 온양읍 대운길 16,울산광역시 울주군 짜장나라,1.0
한식_일반,구이와아구찜,아구찜,28000원,052-211-8045,울산광역시 울주군 범서읍 점촌5길 13-19,울산광역시 울주군 범서읍 점촌5길 13-19,울산광역시 울주군 구이와아구찜,4.5
기타양식,노르쇠핑,단팥빵,1300원,052-267-5873,울산광역시 중구 태화로 136(태화동),울산광역시 중구 태화로 136(태화동),울산광역시 중구 노르쇠핑,4.5
한식_일반,고을식당,낙지+돼지 두루치기,10000원,052-261-1649,울산광역시 남구 돋질로47번길 9,울산광역시 남구 돋질로47번길 9,울산광역시 남구 고을식당,4.5
한식_일반,옛날가마솥보리밥,보리밥,7000원,052-272-1816,울산광역시 남구 월평로37번길 3,울산광역시 남구 월평로37번길 3,울산광역시 남구 옛날가마솥보리밥,4.5
중식,신생원,학생할인 짜장면,5000원,052-273-5796,울산광역시 남구 문수로445번길 7,울산광역시 남구 문수로445번길 7,울산광역시 남구 신생원,4.4
한식_육류,만수원숯불갈비,쌈정식,7000원,052-297-4327,울산광역시 중구 해오름16길 2(남외동),울산광역시 중구 해오름16길 2(남외동),울산광역시 중구 만수원숯불갈비,0.0
중식,탕짜,짜장면,5000원,052-246-5566,울산광역시 중구 시계탑사거리 6(성남동),울산광역시 중구 시계탑사거리 6(성남동),울산광역시 중구 탕짜,2.0
한식_면류,이조칼국수,잔치국수,5000원,052-236-9736,울산광역시 동구 옥류로64(동부동),울산광역시 동구 옥류로64(동부동),울산광역시 동구 이조칼국수,4.8
이미용업,하정희 헤어,퍼머,25000원,052-234-1573,울산광역시 동구 진성6길 80(전하동),울산광역시 동구 진성6길 80(전하동),울산광역시 동구 하정희 헤어,0.0
한식_일반,정원식당,청국장,6000원,052-236-2221,울산광역시 동구 진성14길77(전하동),울산광역시 동구 진성14길77(전하동),울산광역시 동구 정원식당,0.0
이미용업,천리향헤어방,커트,10000원,052-238-8813,울산광역시 울주군 온산읍 신온9길 43,울산광역시 울주군 온산읍 신온9길 43,울산광역시 울주군 천리향헤어방,0.0
이미용업,한나헤어아트,파마,40000원,052-239-4564,울산광역시 울주군 온양읍 태화7길 46,울산광역시 울주군 온양읍 태화7길 46,울산광역시 울주군 한나헤어아트,0.0
한식_일반,고려뼈다귀해장국,해장국,8000원,052-254-5482,울산광역시 울주군 언양읍 동부9길 25,울산광역시 울주군 언양읍 동부9길 25,울산광역시 울주군 고려뼈다귀해장국,0.0
한식_일반,오돌식당,된장찌개,8000원,052-254-5344,울산광역시 울주군 언양읍 동문길 81-6,울산광역시 울주군 언양읍 동문길 81-6,울산광역시 울주군 오돌식당,0.0
한식_일반,효정밥상,생선구이정식,10000원,052-227-4995,울산광역시 울주군 청량면 신덕하1길 9,울산광역시 울주군 청량면 신덕하1길 9,울산광역시 울주군 효정밥상,3.3
세탁업,화이트세탁전문점,신사복1벌,6000원,052-244-7084,울산광역시 울주군 범서읍 천상5길 6-2,울산광역시 울주군 범서읍 천상5길 6-2,울산광역시 울주군 화이트세탁전문점,0.0
세탁업,온양컴퓨터세탁소,바지,2500원,052-238-5218,울산광역시 울주군 온양읍 남창3길 7,울산광역시 울주군 온양읍 남창3길 7,울산광역시 울주군 온양컴퓨터세탁소,0.0
이미용업,태양이발관,컷트(면도포함),10000원,052-262-7261,울산광역시 울주군 두동면 계명3길 4-1,울산광역시 울주군 두동면 계명3길 4-1,울산광역시 울주군 태양이발관,0.0
이미용업,남일 이용원,일반(면도포함),5000원,052-238-3606,울산광역시 울주군 온양읍 남창1길 44,울산광역시 울주군 온양읍 남창1길 44,울산광역시 울주군 남일 이용원,0.0
이미용업,상서이용원,컷트(면도포함),8000원,052-238-3477,울산광역시 울주군 온양읍 남창2길 32,울산광역시 울주군 온양읍 남창2길 32,울산광역시 울주군 상서이용원,5.0
이미용업,중앙이용원,컷트(면도포함),8000원,052-238-3632,울산광역시 울주군 온양읍 남창1길 27,울산광역시 울주군 온양읍 남창1길 27,울산광역시 울주군 중앙이용원,5.0
이미용업,정가네 미용실,커트,10000원,052-239-1050,울산광역시 울주군 서생면 신리길 115,울산광역시 울주군 서생면 신리길 115,울산광역시 울주군 정가네 미용실,0.0
한식_면류,동산분식,칼국수,4500원,052-282-3882,"울산광역시 북구 호계3길 17-11 47호, 48호","울산광역시 북구 호계3길 17-11 47호, 48호",울산광역시 북구 동산분식,0.0
한식_일반,봉봉식당,김치찌개,7000원,052-254-4742,울산광역시 울주군 두동면 두동로 969,울산광역시 울주군 두동면 두동로 969,울산광역시 울주군 봉봉식당,0.0
한식_일반,춘자네 식당,순두부,6500원,052-254-2064,울산광역시 울주군 상북면 도동신리로 4,울산광역시 울주군 상북면 도동신리로 4,울산광역시 울주군 춘자네 식당,4.0
한식_일반,큰당골식당,백반정식,7000원,052-262-7519,울산광역시 울주군 두동면 대밀길 22,울산광역시 울주군 두동면 대밀길 22,울산광역시 울주군 큰당골식당,4.0
한식_육류,대림통갈비,냉면,5000원,052-263-0733,울산광역시 울주군 언양읍 동부1길 18-9,울산광역시 울주군 언양읍 동부1길 18-9,울산광역시 울주군 대림통갈비,4.3
한식_일반,우리동네식당,정식,8000원,052-238-8214,울산광역시 울주군 온산읍 명봉거남로 1,울산광역시 울주군 온산읍 명봉거남로 1,울산광역시 울주군 우리동네식당,5.0
한식_일반,태양추어탕보리밥,추어탕,8000원,052-295-2584,울산광역시 북구 호계3길 17-11 호계공설시장 18.19호,울산광역시 북구 호계3길 17-11 호계공설시장 18.19호,울산광역시 북구 태양추어탕보리밥,0.0
한식_일반,푸짐한식당,된장찌개,6000원,052-287-5727,울산광역시 북구 새장터6길 9-3,울산광역시 북구 새장터6길 9-3,울산광역시 북구 푸짐한식당,5.0
한식_면류,남향손칼국수,칼국수,5000원,052-295-5199,"울산광역시 북구 호계3길 17-11 호계상설시장 45,46호","울산광역시 북구 호계3길 17-11 호계상설시장 45,46호",울산광역시 북구 남향손칼국수,0.0
한식_면류,주안네손칼국수,들깨칼국수,7000원,052-286-2822,"울산광역시 북구 호계3길 17-11 49,50호","울산광역시 북구 호계3길 17-11 49,50호",울산광역시 북구 주안네손칼국수,0.0
한식_일반,퇴근길,정식,6000원,052-289-0982,울산광역시 북구 사청7길 17,울산광역시 북구 사청7길 17,울산광역시 북구 퇴근길,0.0
세탁업,벽산컴퓨터세탁,양복,7000원,052-288-2891,울산광역시 북구 상방로 162,울산광역시 북구 상방로 162,울산광역시 북구 벽산컴퓨터세탁,0.0
이미용업,탤런트미용실,파마,30000원,052-292-6706,울산광역시 중구 내황2길 58(반구동),울산광역시 중구 내황2길 58(반구동),울산광역시 중구 탤런트미용실,0.0
중식,동해반점,짬뽕,7500원,052-201-1912,울산광역시 동구 꽃바위3길 63(방어동),울산광역시 동구 꽃바위3길 63(방어동),울산광역시 동구 동해반점,3.1
한식_면류,장수밀면,물밀면,6500원,052-235-0552,울산광역시 동구 명덕4길 6(서부동),울산광역시 동구 명덕4길 6(서부동),울산광역시 동구 장수밀면,4.0
한식_일반,제일식당,김치찌개,8000원,052-233-8520,울산광역시 동구 명덕3길 6(서부동),울산광역시 동구 명덕3길 6(서부동),울산광역시 동구 제일식당,4.8
이미용업,미인대회,파마,35000원,052-201-1955,울산광역시 동구 진성11길 106.J동 107호,울산광역시 동구 진성11길 106.J동 107호,울산광역시 동구 미인대회,0.0
한식_육류,호박터숯불갈비,"생삼겹(국산, 150g)",9000원,052-201-4452,울산광역시 동구 문재2길 13(방어동),울산광역시 동구 문재2길 13(방어동),울산광역시 동구 호박터숯불갈비,0.0
세탁업,백옥세탁소,양복1벌,10000원,052-236-1919,울산광역시 동구 남목12길 36(동부동),울산광역시 동구 남목12길 36(동부동),울산광역시 동구 백옥세탁소,0.0
이미용업,형제이용원,컷트,10000원,052-234-9977,울산광역시 동구 진성5길 50(전하동),울산광역시 동구 진성5길 50(전하동),울산광역시 동구 형제이용원,0.0
한식_일반,정원분식,보리밥,4000원,052-233-7849,울산광역시 동구 대송11길 14-1(화정동),울산광역시 동구 대송11길 14-1(화정동),울산광역시 동구 정원분식,0.0
목욕업,뉴강남탕,대인,6500원,052-211-4873,울산광역시 중구 당산4길 15(우정동),울산광역시 중구 당산4길 15(우정동),울산광역시 중구 뉴강남탕,0.0
한식_육류,진영숯불갈비,갈비탕,7000원,052-211-0752,울산광역시 중구 신기길 15 (태화동),울산광역시 중구 신기길 15 (태화동),울산광역시 중구 진영숯불갈비,0.0
한식_면류,수다라,칼국수,6000원,052-293-8818,울산광역시 중구 서원1길 3(반구동),울산광역시 중구 서원1길 3(반구동),울산광역시 중구 수다라,0.0
한식_일반,서울식당,"된장,순두부찌개",7000원,052-271-5103,울산광역시 남구 중앙로258번길 7,울산광역시 남구 중앙로258번길 7,울산광역시 남구 서울식당,0.0
이미용업,깜짝헤어샵,파마,20000원,052-292-8014,울산광역시 중구 반구정1안길 47(반구동),울산광역시 중구 반구정1안길 47(반구동),울산광역시 중구 깜짝헤어샵,0.0
한식_면류,할머니손칼국시,칼국수,6000원,052-245-8542,울산광역시 중구 화진4길 20(태화동),울산광역시 중구 화진4길 20(태화동),울산광역시 중구 할머니손칼국시,0.0
한식_면류,유가냉면,물냉면,8000원,052-258-6696,울산광역시 중구 먹자거리 12(성남동),울산광역시 중구 먹자거리 12(성남동),울산광역시 중구 유가냉면,0.0
이미용업,선경이용원,컷트,5000원,052-246-1703,울산광역시 중구 유곡로 10(우정동),울산광역시 중구 유곡로 10(우정동),울산광역시 중구 선경이용원,0.0
이미용업,현대이용원,커트,10000원,052-260-6123,울산광역시 남구 돋질로251번길 38,울산광역시 남구 돋질로251번길 38,울산광역시 남구 현대이용원,0.0
이미용업,경주이용원,컷트,12000원,010-4907-9990,울산광역시 남구 월평로159번길 4,울산광역시 남구 월평로159번길 4,울산광역시 남구 경주이용원,0.0
중식,중화루,자장면,6000원,052-224-0392,울산광역시 남구 삼호로11번길 32,울산광역시 남구 삼호로11번길 32,울산광역시 남구 중화루,0.0
한식_육류,제주숯불갈비,삼겹살,10000원,052-266-9297,울산광역시 남구 수암로 177-6,울산광역시 남구 수암로 177-6,울산광역시 남구 제주숯불갈비,0.0
